"DATE","day","season","variable","mean_kWh"
"9/1/17","Friday","Fall","time00:00",6.03333333333333
"9/1/17","Friday","Fall","time01:00",5.94666666666667
"9/1/17","Friday","Fall","time02:00",5.74666666666667
"9/1/17","Friday","Fall","time03:00",5.54666666666667
"9/1/17","Friday","Fall","time04:00",5.83333333333333
"9/1/17","Friday","Fall","time05:00",6.77333333333333
"9/1/17","Friday","Fall","time06:00",50.0266666666667
"9/1/17","Friday","Fall","time07:00",36.9333333333333
"9/1/17","Friday","Fall","time08:00",40.2733333333333
"9/1/17","Friday","Fall","time09:00",57.2933333333333
"9/1/17","Friday","Fall","time10:00",76.8866666666667
"9/1/17","Friday","Fall","time11:00",87.8
"9/1/17","Friday","Fall","time12:00",91.6133333333333
"9/1/17","Friday","Fall","time13:00",108.08
"9/1/17","Friday","Fall","time14:00",111.193333333333
"9/1/17","Friday","Fall","time15:00",106.76
"9/1/17","Friday","Fall","time16:00",90.0066666666667
"9/1/17","Friday","Fall","time17:00",49.7466666666667
"9/1/17","Friday","Fall","time18:00",28.4466666666667
"9/1/17","Friday","Fall","time19:00",18.6466666666667
"9/1/17","Friday","Fall","time20:00",13.66
"9/1/17","Friday","Fall","time21:00",10.7333333333333
"9/1/17","Friday","Fall","time22:00",10.4466666666667
"9/1/17","Friday","Fall","time23:00",7.23333333333333
"9/2/17","Saturday","Fall","time00:00",6.34666666666667
"9/2/17","Saturday","Fall","time01:00",6.14666666666667
"9/2/17","Saturday","Fall","time02:00",5.64666666666667
"9/2/17","Saturday","Fall","time03:00",5.64666666666667
"9/2/17","Saturday","Fall","time04:00",5.34666666666667
"9/2/17","Saturday","Fall","time05:00",5.44666666666667
"9/2/17","Saturday","Fall","time06:00",5.44666666666667
"9/2/17","Saturday","Fall","time07:00",4.13333333333333
"9/2/17","Saturday","Fall","time08:00",4.23333333333333
"9/2/17","Saturday","Fall","time09:00",6.84666666666667
"9/2/17","Saturday","Fall","time10:00",8.74666666666667
"9/2/17","Saturday","Fall","time11:00",9.44666666666667
"9/2/17","Saturday","Fall","time12:00",8.53333333333333
"9/2/17","Saturday","Fall","time13:00",13.26
"9/2/17","Saturday","Fall","time14:00",21.7466666666667
"9/2/17","Saturday","Fall","time15:00",25.3933333333333
"9/2/17","Saturday","Fall","time16:00",30.3133333333333
"9/2/17","Saturday","Fall","time17:00",30.0533333333333
"9/2/17","Saturday","Fall","time18:00",28.6466666666667
"9/2/17","Saturday","Fall","time19:00",19.2466666666667
"9/2/17","Saturday","Fall","time20:00",14.6466666666667
"9/2/17","Saturday","Fall","time21:00",10.4466666666667
"9/2/17","Saturday","Fall","time22:00",8.24666666666667
"9/2/17","Saturday","Fall","time23:00",7.73333333333333
"9/3/17","Sunday","Fall","time00:00",6.53333333333333
"9/3/17","Sunday","Fall","time01:00",6.63333333333333
"9/3/17","Sunday","Fall","time02:00",5.84666666666667
"9/3/17","Sunday","Fall","time03:00",5.94666666666667
"9/3/17","Sunday","Fall","time04:00",7
"9/3/17","Sunday","Fall","time05:00",13.5666666666667
"9/3/17","Sunday","Fall","time06:00",12.1466666666667
"9/3/17","Sunday","Fall","time07:00",11.6666666666667
"9/3/17","Sunday","Fall","time08:00",15.0066666666667
"9/3/17","Sunday","Fall","time09:00",14.12
"9/3/17","Sunday","Fall","time10:00",14.3133333333333
"9/3/17","Sunday","Fall","time11:00",15.6933333333333
"9/3/17","Sunday","Fall","time12:00",17.22
"9/3/17","Sunday","Fall","time13:00",14.56
"9/3/17","Sunday","Fall","time14:00",15.72
"9/3/17","Sunday","Fall","time15:00",17.6766666666667
"9/3/17","Sunday","Fall","time16:00",18.0533333333333
"9/3/17","Sunday","Fall","time17:00",18.12
"9/3/17","Sunday","Fall","time18:00",15.1466666666667
"9/3/17","Sunday","Fall","time19:00",12.1466666666667
"9/3/17","Sunday","Fall","time20:00",8.56
"9/3/17","Sunday","Fall","time21:00",7.94666666666667
"9/3/17","Sunday","Fall","time22:00",6.93333333333333
"9/3/17","Sunday","Fall","time23:00",6.04666666666667
"9/4/17","Monday","Fall","time00:00",5.54666666666667
"9/4/17","Monday","Fall","time01:00",6.04666666666667
"9/4/17","Monday","Fall","time02:00",5.53333333333333
"9/4/17","Monday","Fall","time03:00",5.33333333333333
"9/4/17","Monday","Fall","time04:00",5.24666666666667
"9/4/17","Monday","Fall","time05:00",5.14666666666667
"9/4/17","Monday","Fall","time06:00",28.7466666666667
"9/4/17","Monday","Fall","time07:00",25.06
"9/4/17","Monday","Fall","time08:00",8.64666666666667
"9/4/17","Monday","Fall","time09:00",4.74666666666667
"9/4/17","Monday","Fall","time10:00",5.63333333333333
"9/4/17","Monday","Fall","time11:00",8.74666666666667
"9/4/17","Monday","Fall","time12:00",8.74666666666667
"9/4/17","Monday","Fall","time13:00",10.3466666666667
"9/4/17","Monday","Fall","time14:00",11.56
"9/4/17","Monday","Fall","time15:00",9.72
"9/4/17","Monday","Fall","time16:00",9.86666666666667
"9/4/17","Monday","Fall","time17:00",11.4333333333333
"9/4/17","Monday","Fall","time18:00",10.66
"9/4/17","Monday","Fall","time19:00",8.14666666666667
"9/4/17","Monday","Fall","time20:00",7.64666666666667
"9/4/17","Monday","Fall","time21:00",6.54666666666667
"9/4/17","Monday","Fall","time22:00",7.44666666666667
"9/4/17","Monday","Fall","time23:00",5.93333333333333
"9/5/17","Tuesday","Fall","time00:00",6.13333333333333
"9/5/17","Tuesday","Fall","time01:00",5.44666666666667
"9/5/17","Tuesday","Fall","time02:00",5.44666666666667
"9/5/17","Tuesday","Fall","time03:00",5.14666666666667
"9/5/17","Tuesday","Fall","time04:00",5.34666666666667
"9/5/17","Tuesday","Fall","time05:00",6.8
"9/5/17","Tuesday","Fall","time06:00",59.1066666666667
"9/5/17","Tuesday","Fall","time07:00",53.8133333333333
"9/5/17","Tuesday","Fall","time08:00",52.1666666666667
"9/5/17","Tuesday","Fall","time09:00",69.3266666666667
"9/5/17","Tuesday","Fall","time10:00",78.9533333333333
"9/5/17","Tuesday","Fall","time11:00",82.4733333333333
"9/5/17","Tuesday","Fall","time12:00",87.0866666666667
"9/5/17","Tuesday","Fall","time13:00",93.8933333333333
"9/5/17","Tuesday","Fall","time14:00",103.153333333333
"9/5/17","Tuesday","Fall","time15:00",97.4733333333333
"9/5/17","Tuesday","Fall","time16:00",76.3
"9/5/17","Tuesday","Fall","time17:00",32.5333333333333
"9/5/17","Tuesday","Fall","time18:00",21.94
"9/5/17","Tuesday","Fall","time19:00",18.06
"9/5/17","Tuesday","Fall","time20:00",15.2466666666667
"9/5/17","Tuesday","Fall","time21:00",14.3333333333333
"9/5/17","Tuesday","Fall","time22:00",11.6333333333333
"9/5/17","Tuesday","Fall","time23:00",9.64666666666667
"9/6/17","Wednesday","Fall","time00:00",6.56
"9/6/17","Wednesday","Fall","time01:00",6.74666666666667
"9/6/17","Wednesday","Fall","time02:00",6.73333333333333
"9/6/17","Wednesday","Fall","time03:00",6.34
"9/6/17","Wednesday","Fall","time04:00",6.24666666666667
"9/6/17","Wednesday","Fall","time05:00",7.01333333333333
"9/6/17","Wednesday","Fall","time06:00",45
"9/6/17","Wednesday","Fall","time07:00",33.6066666666667
"9/6/17","Wednesday","Fall","time08:00",37.2866666666667
"9/6/17","Wednesday","Fall","time09:00",50.8
"9/6/17","Wednesday","Fall","time10:00",67.42
"9/6/17","Wednesday","Fall","time11:00",75.28
"9/6/17","Wednesday","Fall","time12:00",82.84
"9/6/17","Wednesday","Fall","time13:00",94.7266666666667
"9/6/17","Wednesday","Fall","time14:00",92.1866666666667
"9/6/17","Wednesday","Fall","time15:00",92.8266666666667
"9/6/17","Wednesday","Fall","time16:00",65.6066666666667
"9/6/17","Wednesday","Fall","time17:00",35.3466666666667
"9/6/17","Wednesday","Fall","time18:00",21.4466666666667
"9/6/17","Wednesday","Fall","time19:00",11.8466666666667
"9/6/17","Wednesday","Fall","time20:00",10.6466666666667
"9/6/17","Wednesday","Fall","time21:00",15.8333333333333
"9/6/17","Wednesday","Fall","time22:00",12.1466666666667
"9/6/17","Wednesday","Fall","time23:00",9.54666666666667
"9/7/17","Thursday","Fall","time00:00",6.43333333333333
"9/7/17","Thursday","Fall","time01:00",5.93333333333333
"9/7/17","Thursday","Fall","time02:00",5.93333333333333
"9/7/17","Thursday","Fall","time03:00",5.63333333333333
"9/7/17","Thursday","Fall","time04:00",5.64666666666667
"9/7/17","Thursday","Fall","time05:00",6.58666666666667
"9/7/17","Thursday","Fall","time06:00",41.6
"9/7/17","Thursday","Fall","time07:00",29.2133333333333
"9/7/17","Thursday","Fall","time08:00",33.1933333333333
"9/7/17","Thursday","Fall","time09:00",46.3533333333333
"9/7/17","Thursday","Fall","time10:00",48.9
"9/7/17","Thursday","Fall","time11:00",57.1133333333333
"9/7/17","Thursday","Fall","time12:00",62.2466666666667
"9/7/17","Thursday","Fall","time13:00",66.3333333333333
"9/7/17","Thursday","Fall","time14:00",70.9533333333333
"9/7/17","Thursday","Fall","time15:00",63.4133333333333
"9/7/17","Thursday","Fall","time16:00",49.7133333333333
"9/7/17","Thursday","Fall","time17:00",26.8466666666667
"9/7/17","Thursday","Fall","time18:00",18.2466666666667
"9/7/17","Thursday","Fall","time19:00",14.0466666666667
"9/7/17","Thursday","Fall","time20:00",12.9333333333333
"9/7/17","Thursday","Fall","time21:00",9.84666666666667
"9/7/17","Thursday","Fall","time22:00",9.54666666666667
"9/7/17","Thursday","Fall","time23:00",8.13333333333333
"9/8/17","Friday","Fall","time00:00",6.63333333333333
"9/8/17","Friday","Fall","time01:00",6.04666666666667
"9/8/17","Friday","Fall","time02:00",6.13333333333333
"9/8/17","Friday","Fall","time03:00",6.84666666666667
"9/8/17","Friday","Fall","time04:00",6.23333333333333
"9/8/17","Friday","Fall","time05:00",6.89333333333333
"9/8/17","Friday","Fall","time06:00",29.9266666666667
"9/8/17","Friday","Fall","time07:00",24.0866666666667
"9/8/17","Friday","Fall","time08:00",23.6333333333333
"9/8/17","Friday","Fall","time09:00",35.5
"9/8/17","Friday","Fall","time10:00",44.8866666666667
"9/8/17","Friday","Fall","time11:00",51.1533333333333
"9/8/17","Friday","Fall","time12:00",57.5333333333333
"9/8/17","Friday","Fall","time13:00",68.08
"9/8/17","Friday","Fall","time14:00",80.3666666666667
"9/8/17","Friday","Fall","time15:00",80.2533333333333
"9/8/17","Friday","Fall","time16:00",50.9333333333333
"9/8/17","Friday","Fall","time17:00",22.6466666666667
"9/8/17","Friday","Fall","time18:00",17.1466666666667
"9/8/17","Friday","Fall","time19:00",12.4466666666667
"9/8/17","Friday","Fall","time20:00",10.9333333333333
"9/8/17","Friday","Fall","time21:00",11.0466666666667
"9/8/17","Friday","Fall","time22:00",7.34666666666667
"9/8/17","Friday","Fall","time23:00",7.53333333333333
"9/9/17","Saturday","Fall","time00:00",6.23333333333333
"9/9/17","Saturday","Fall","time01:00",5.93333333333333
"9/9/17","Saturday","Fall","time02:00",5.94666666666667
"9/9/17","Saturday","Fall","time03:00",5.63333333333333
"9/9/17","Saturday","Fall","time04:00",5.64666666666667
"9/9/17","Saturday","Fall","time05:00",5.64666666666667
"9/9/17","Saturday","Fall","time06:00",5.54666666666667
"9/9/17","Saturday","Fall","time07:00",4.83333333333333
"9/9/17","Saturday","Fall","time08:00",4.84666666666667
"9/9/17","Saturday","Fall","time09:00",5.44666666666667
"9/9/17","Saturday","Fall","time10:00",6.44666666666667
"9/9/17","Saturday","Fall","time11:00",6.33333333333333
"9/9/17","Saturday","Fall","time12:00",6.84666666666667
"9/9/17","Saturday","Fall","time13:00",8.84666666666667
"9/9/17","Saturday","Fall","time14:00",8.34666666666667
"9/9/17","Saturday","Fall","time15:00",8.04666666666667
"9/9/17","Saturday","Fall","time16:00",9.64666666666667
"9/9/17","Saturday","Fall","time17:00",10.4466666666667
"9/9/17","Saturday","Fall","time18:00",9.66
"9/9/17","Saturday","Fall","time19:00",8.13333333333333
"9/9/17","Saturday","Fall","time20:00",7.54666666666667
"9/9/17","Saturday","Fall","time21:00",6.84666666666667
"9/9/17","Saturday","Fall","time22:00",6.94666666666667
"9/9/17","Saturday","Fall","time23:00",6.74666666666667
"9/10/17","Sunday","Fall","time00:00",7.03333333333333
"9/10/17","Sunday","Fall","time01:00",6.42
"9/10/17","Sunday","Fall","time02:00",6.34666666666667
"9/10/17","Sunday","Fall","time03:00",6.13333333333333
"9/10/17","Sunday","Fall","time04:00",7.12
"9/10/17","Sunday","Fall","time05:00",12.5133333333333
"9/10/17","Sunday","Fall","time06:00",11.2733333333333
"9/10/17","Sunday","Fall","time07:00",9.55333333333333
"9/10/17","Sunday","Fall","time08:00",10.0133333333333
"9/10/17","Sunday","Fall","time09:00",9.26
"9/10/17","Sunday","Fall","time10:00",10.92
"9/10/17","Sunday","Fall","time11:00",11.5666666666667
"9/10/17","Sunday","Fall","time12:00",12.4933333333333
"9/10/17","Sunday","Fall","time13:00",8.54666666666667
"9/10/17","Sunday","Fall","time14:00",10.4466666666667
"9/10/17","Sunday","Fall","time15:00",12.8466666666667
"9/10/17","Sunday","Fall","time16:00",15.66
"9/10/17","Sunday","Fall","time17:00",13.86
"9/10/17","Sunday","Fall","time18:00",11.8466666666667
"9/10/17","Sunday","Fall","time19:00",9.94666666666667
"9/10/17","Sunday","Fall","time20:00",8.24666666666667
"9/10/17","Sunday","Fall","time21:00",8.03333333333333
"9/10/17","Sunday","Fall","time22:00",7.44666666666667
"9/10/17","Sunday","Fall","time23:00",7.36
"9/11/17","Monday","Fall","time00:00",7.14666666666667
"9/11/17","Monday","Fall","time01:00",7.34666666666667
"9/11/17","Monday","Fall","time02:00",6.73333333333333
"9/11/17","Monday","Fall","time03:00",6.68333333333333
"9/11/17","Monday","Fall","time04:00",6.43333333333333
"9/11/17","Monday","Fall","time05:00",8.22666666666667
"9/11/17","Monday","Fall","time06:00",48.8433333333333
"9/11/17","Monday","Fall","time07:00",42.3
"9/11/17","Monday","Fall","time08:00",40.9733333333333
"9/11/17","Monday","Fall","time09:00",57.86
"9/11/17","Monday","Fall","time10:00",74.5933333333333
"9/11/17","Monday","Fall","time11:00",82.66
"9/11/17","Monday","Fall","time12:00",84.0266666666667
"9/11/17","Monday","Fall","time13:00",91.4933333333333
"9/11/17","Monday","Fall","time14:00",90.8666666666667
"9/11/17","Monday","Fall","time15:00",78.5933333333333
"9/11/17","Monday","Fall","time16:00",61.4133333333333
"9/11/17","Monday","Fall","time17:00",28.4466666666667
"9/11/17","Monday","Fall","time18:00",20.86
"9/11/17","Monday","Fall","time19:00",18.9333333333333
"9/11/17","Monday","Fall","time20:00",14.1466666666667
"9/11/17","Monday","Fall","time21:00",10.4466666666667
"9/11/17","Monday","Fall","time22:00",9.33333333333333
