"DATE","day","season","variable","mean_kWh"
"11/1/17","Wednesday","Winter","time00:00",6.45333333333333
"11/1/17","Wednesday","Winter","time01:00",6.46666666666667
"11/1/17","Wednesday","Winter","time02:00",6.55333333333333
"11/1/17","Wednesday","Winter","time03:00",6.45333333333333
"11/1/17","Wednesday","Winter","time04:00",6.75333333333333
"11/1/17","Wednesday","Winter","time05:00",6.55333333333333
"11/1/17","Wednesday","Winter","time06:00",13.5666666666667
"11/1/17","Wednesday","Winter","time07:00",18.7533333333333
"11/1/17","Wednesday","Winter","time08:00",23.5533333333333
"11/1/17","Wednesday","Winter","time09:00",27.0333333333333
"11/1/17","Wednesday","Winter","time10:00",21.9666666666667
"11/1/17","Wednesday","Winter","time11:00",22.96
"11/1/17","Wednesday","Winter","time12:00",24.9066666666667
"11/1/17","Wednesday","Winter","time13:00",28.8333333333333
"11/1/17","Wednesday","Winter","time14:00",31.4
"11/1/17","Wednesday","Winter","time15:00",29.6
"11/1/17","Wednesday","Winter","time16:00",21.68
"11/1/17","Wednesday","Winter","time17:00",12.7066666666667
"11/1/17","Wednesday","Winter","time18:00",10.0666666666667
"11/1/17","Wednesday","Winter","time19:00",10.1533333333333
"11/1/17","Wednesday","Winter","time20:00",9.26666666666667
"11/1/17","Wednesday","Winter","time21:00",6.96666666666667
"11/1/17","Wednesday","Winter","time22:00",7.16666666666667
"11/1/17","Wednesday","Winter","time23:00",6.06666666666667
"11/2/17","Thursday","Winter","time00:00",5.95333333333333
"11/2/17","Thursday","Winter","time01:00",6.26666666666667
"11/2/17","Thursday","Winter","time02:00",6.05333333333333
"11/2/17","Thursday","Winter","time03:00",6.05333333333333
"11/2/17","Thursday","Winter","time04:00",6.36666666666667
"11/2/17","Thursday","Winter","time05:00",6.15333333333333
"11/2/17","Thursday","Winter","time06:00",13.7666666666667
"11/2/17","Thursday","Winter","time07:00",18.08
"11/2/17","Thursday","Winter","time08:00",23.5533333333333
"11/2/17","Thursday","Winter","time09:00",27.0666666666667
"11/2/17","Thursday","Winter","time10:00",22.2
"11/2/17","Thursday","Winter","time11:00",23.12
"11/2/17","Thursday","Winter","time12:00",21.6666666666667
"11/2/17","Thursday","Winter","time13:00",22.0866666666667
"11/2/17","Thursday","Winter","time14:00",23.28
"11/2/17","Thursday","Winter","time15:00",19.4333333333333
"11/2/17","Thursday","Winter","time16:00",13.7066666666667
"11/2/17","Thursday","Winter","time17:00",10.82
"11/2/17","Thursday","Winter","time18:00",10.6666666666667
"11/2/17","Thursday","Winter","time19:00",9.65333333333333
"11/2/17","Thursday","Winter","time20:00",9.96666666666667
"11/2/17","Thursday","Winter","time21:00",7.56666666666667
"11/2/17","Thursday","Winter","time22:00",7.35333333333333
"11/2/17","Thursday","Winter","time23:00",6.06666666666667
"11/3/17","Friday","Winter","time00:00",5.95333333333333
"11/3/17","Friday","Winter","time01:00",5.65333333333333
"11/3/17","Friday","Winter","time02:00",5.65333333333333
"11/3/17","Friday","Winter","time03:00",5.75333333333333
"11/3/17","Friday","Winter","time04:00",6.15333333333333
"11/3/17","Friday","Winter","time05:00",5.85333333333333
"11/3/17","Friday","Winter","time06:00",12.1666666666667
"11/3/17","Friday","Winter","time07:00",17.0533333333333
"11/3/17","Friday","Winter","time08:00",18.4533333333333
"11/3/17","Friday","Winter","time09:00",24.64
"11/3/17","Friday","Winter","time10:00",22.88
"11/3/17","Friday","Winter","time11:00",25.5666666666667
"11/3/17","Friday","Winter","time12:00",27.1533333333333
"11/3/17","Friday","Winter","time13:00",28.9866666666667
"11/3/17","Friday","Winter","time14:00",32.1333333333333
"11/3/17","Friday","Winter","time15:00",25.7133333333333
"11/3/17","Friday","Winter","time16:00",17.38
"11/3/17","Friday","Winter","time17:00",11.26
"11/3/17","Friday","Winter","time18:00",9.36666666666667
"11/3/17","Friday","Winter","time19:00",9.06666666666667
"11/3/17","Friday","Winter","time20:00",8.26666666666667
"11/3/17","Friday","Winter","time21:00",6.96666666666667
"11/3/17","Friday","Winter","time22:00",6.45333333333333
"11/3/17","Friday","Winter","time23:00",5.66666666666667
"11/4/17","Saturday","Winter","time00:00",5.85333333333333
"11/4/17","Saturday","Winter","time01:00",5.85333333333333
"11/4/17","Saturday","Winter","time02:00",5.65333333333333
"11/4/17","Saturday","Winter","time03:00",5.95333333333333
"11/4/17","Saturday","Winter","time04:00",5.85333333333333
"11/4/17","Saturday","Winter","time05:00",6.05333333333333
"11/4/17","Saturday","Winter","time06:00",6.25333333333333
"11/4/17","Saturday","Winter","time07:00",6.05333333333333
"11/4/17","Saturday","Winter","time08:00",5.15333333333333
"11/4/17","Saturday","Winter","time09:00",6.56666666666667
"11/4/17","Saturday","Winter","time10:00",6.55333333333333
"11/4/17","Saturday","Winter","time11:00",6.76666666666667
"11/4/17","Saturday","Winter","time12:00",6.05333333333333
"11/4/17","Saturday","Winter","time13:00",4.85333333333333
"11/4/17","Saturday","Winter","time14:00",4.65333333333333
"11/4/17","Saturday","Winter","time15:00",4.45333333333333
"11/4/17","Saturday","Winter","time16:00",4.25333333333333
"11/4/17","Saturday","Winter","time17:00",4.95333333333333
"11/4/17","Saturday","Winter","time18:00",5.55333333333333
"11/4/17","Saturday","Winter","time19:00",6.25333333333333
"11/4/17","Saturday","Winter","time20:00",6.05333333333333
"11/4/17","Saturday","Winter","time21:00",6.05333333333333
"11/4/17","Saturday","Winter","time22:00",6.26666666666667
"11/4/17","Saturday","Winter","time23:00",6.45333333333333
"11/5/17","Sunday","Winter","time00:00",6.55333333333333
"11/5/17","Sunday","Winter","time01:00",6.66
"11/5/17","Sunday","Winter","time02:00",6.90333333333333
"11/5/17","Sunday","Winter","time03:00",7.06666666666667
"11/5/17","Sunday","Winter","time04:00",6.85333333333333
"11/5/17","Sunday","Winter","time05:00",6.95333333333333
"11/5/17","Sunday","Winter","time06:00",8.19333333333333
"11/5/17","Sunday","Winter","time07:00",5.91333333333333
"11/5/17","Sunday","Winter","time08:00",5.54
"11/5/17","Sunday","Winter","time09:00",5.25333333333333
"11/5/17","Sunday","Winter","time10:00",4.8
"11/5/17","Sunday","Winter","time11:00",4.65333333333333
"11/5/17","Sunday","Winter","time12:00",7.95333333333333
"11/5/17","Sunday","Winter","time13:00",6.30666666666667
"11/5/17","Sunday","Winter","time14:00",4.66666666666667
"11/5/17","Sunday","Winter","time15:00",4.56666666666667
"11/5/17","Sunday","Winter","time16:00",5.16666666666667
"11/5/17","Sunday","Winter","time17:00",6.45333333333333
"11/5/17","Sunday","Winter","time18:00",6.66666666666667
"11/5/17","Sunday","Winter","time19:00",7.96666666666667
"11/5/17","Sunday","Winter","time20:00",6.48
"11/5/17","Sunday","Winter","time21:00",6.25333333333333
"11/5/17","Sunday","Winter","time22:00",6.38
"11/5/17","Sunday","Winter","time23:00",6.45333333333333
"11/6/17","Monday","Winter","time00:00",6.76666666666667
"11/6/17","Monday","Winter","time01:00",6.56666666666667
"11/6/17","Monday","Winter","time02:00",6.96666666666667
"11/6/17","Monday","Winter","time03:00",6.76666666666667
"11/6/17","Monday","Winter","time04:00",6.55333333333333
"11/6/17","Monday","Winter","time05:00",7.16666666666667
"11/6/17","Monday","Winter","time06:00",16.0666666666667
"11/6/17","Monday","Winter","time07:00",22.8666666666667
"11/6/17","Monday","Winter","time08:00",25.8666666666667
"11/6/17","Monday","Winter","time09:00",29.26
"11/6/17","Monday","Winter","time10:00",24.1933333333333
"11/6/17","Monday","Winter","time11:00",23.1733333333333
"11/6/17","Monday","Winter","time12:00",22.3266666666667
"11/6/17","Monday","Winter","time13:00",17.02
"11/6/17","Monday","Winter","time14:00",17.3466666666667
"11/6/17","Monday","Winter","time15:00",20.6733333333333
"11/6/17","Monday","Winter","time16:00",14.4933333333333
"11/6/17","Monday","Winter","time17:00",11.4933333333333
"11/6/17","Monday","Winter","time18:00",9.96666666666667
"11/6/17","Monday","Winter","time19:00",9.96666666666667
"11/6/17","Monday","Winter","time20:00",8.75333333333333
"11/6/17","Monday","Winter","time21:00",8.16666666666667
"11/6/17","Monday","Winter","time22:00",7.86666666666667
"11/6/17","Monday","Winter","time23:00",6.35333333333333
"11/7/17","Tuesday","Winter","time00:00",6.25333333333333
"11/7/17","Tuesday","Winter","time01:00",7.06666666666667
"11/7/17","Tuesday","Winter","time02:00",7.06666666666667
"11/7/17","Tuesday","Winter","time03:00",7.05333333333333
"11/7/17","Tuesday","Winter","time04:00",7.26666666666667
"11/7/17","Tuesday","Winter","time05:00",7.65333333333333
"11/7/17","Tuesday","Winter","time06:00",16.4666666666667
"11/7/17","Tuesday","Winter","time07:00",24.5533333333333
"11/7/17","Tuesday","Winter","time08:00",28.3666666666667
"11/7/17","Tuesday","Winter","time09:00",35.16
"11/7/17","Tuesday","Winter","time10:00",26.0733333333333
"11/7/17","Tuesday","Winter","time11:00",24.4866666666667
"11/7/17","Tuesday","Winter","time12:00",25.6866666666667
"11/7/17","Tuesday","Winter","time13:00",24.9133333333333
"11/7/17","Tuesday","Winter","time14:00",30.04
"11/7/17","Tuesday","Winter","time15:00",25.2466666666667
"11/7/17","Tuesday","Winter","time16:00",17.08
"11/7/17","Tuesday","Winter","time17:00",11.2066666666667
"11/7/17","Tuesday","Winter","time18:00",9.93333333333333
"11/7/17","Tuesday","Winter","time19:00",9.56
"11/7/17","Tuesday","Winter","time20:00",9.16666666666667
"11/7/17","Tuesday","Winter","time21:00",6.96666666666667
"11/7/17","Tuesday","Winter","time22:00",6.76666666666667
"11/7/17","Tuesday","Winter","time23:00",6.26666666666667
"11/8/17","Wednesday","Winter","time00:00",6.12
"11/8/17","Wednesday","Winter","time01:00",6.36666666666667
"11/8/17","Wednesday","Winter","time02:00",6.86666666666667
"11/8/17","Wednesday","Winter","time03:00",6.25333333333333
"11/8/17","Wednesday","Winter","time04:00",6.56666666666667
"11/8/17","Wednesday","Winter","time05:00",6.56666666666667
"11/8/17","Wednesday","Winter","time06:00",16.6533333333333
"11/8/17","Wednesday","Winter","time07:00",21.9666666666667
"11/8/17","Wednesday","Winter","time08:00",28.1533333333333
"11/8/17","Wednesday","Winter","time09:00",31.2466666666667
"11/8/17","Wednesday","Winter","time10:00",21.26
"11/8/17","Wednesday","Winter","time11:00",22.0466666666667
"11/8/17","Wednesday","Winter","time12:00",19.0466666666667
"11/8/17","Wednesday","Winter","time13:00",19.2466666666667
"11/8/17","Wednesday","Winter","time14:00",19.5333333333333
"11/8/17","Wednesday","Winter","time15:00",16.6333333333333
"11/8/17","Wednesday","Winter","time16:00",11.3466666666667
"11/8/17","Wednesday","Winter","time17:00",9.44666666666667
"11/8/17","Wednesday","Winter","time18:00",9.54666666666667
"11/8/17","Wednesday","Winter","time19:00",9.44666666666667
"11/8/17","Wednesday","Winter","time20:00",8.64666666666667
"11/8/17","Wednesday","Winter","time21:00",6.44666666666667
"11/8/17","Wednesday","Winter","time22:00",6.04666666666667
"11/8/17","Wednesday","Winter","time23:00",5.14666666666667
"11/9/17","Thursday","Winter","time00:00",5.26
"11/9/17","Thursday","Winter","time01:00",5.44666666666667
"11/9/17","Thursday","Winter","time02:00",5.23333333333333
"11/9/17","Thursday","Winter","time03:00",5.34666666666667
"11/9/17","Thursday","Winter","time04:00",5.33333333333333
"11/9/17","Thursday","Winter","time05:00",5.44666666666667
"11/9/17","Thursday","Winter","time06:00",14.4333333333333
"11/9/17","Thursday","Winter","time07:00",16.3466666666667
"11/9/17","Thursday","Winter","time08:00",20.3466666666667
"11/9/17","Thursday","Winter","time09:00",18.9466666666667
"11/9/17","Thursday","Winter","time10:00",19.0466666666667
"11/9/17","Thursday","Winter","time11:00",17.9466666666667
"11/9/17","Thursday","Winter","time12:00",19.1466666666667
