"DATE","day","season","variable","mean_kWh"
"11/1/17","Wednesday","Winter","time00:00",5.824
"11/1/17","Wednesday","Winter","time01:00",5.704
"11/1/17","Wednesday","Winter","time02:00",5.82
"11/1/17","Wednesday","Winter","time03:00",5.664
"11/1/17","Wednesday","Winter","time04:00",5.812
"11/1/17","Wednesday","Winter","time05:00",5.852
"11/1/17","Wednesday","Winter","time06:00",10.924
"11/1/17","Wednesday","Winter","time07:00",15.796
"11/1/17","Wednesday","Winter","time08:00",22.772
"11/1/17","Wednesday","Winter","time09:00",24.604
"11/1/17","Wednesday","Winter","time10:00",22.524
"11/1/17","Wednesday","Winter","time11:00",24.304
"11/1/17","Wednesday","Winter","time12:00",23.264
"11/1/17","Wednesday","Winter","time13:00",27.956
"11/1/17","Wednesday","Winter","time14:00",27.8
"11/1/17","Wednesday","Winter","time15:00",25.536
"11/1/17","Wednesday","Winter","time16:00",19.408
"11/1/17","Wednesday","Winter","time17:00",13.64
"11/1/17","Wednesday","Winter","time18:00",12.728
"11/1/17","Wednesday","Winter","time19:00",12.044
"11/1/17","Wednesday","Winter","time20:00",9.592
"11/1/17","Wednesday","Winter","time21:00",7.06
"11/1/17","Wednesday","Winter","time22:00",6.412
"11/1/17","Wednesday","Winter","time23:00",5.656
"11/2/17","Thursday","Winter","time00:00",5.524
"11/2/17","Thursday","Winter","time01:00",5.68
"11/2/17","Thursday","Winter","time02:00",5.456
"11/2/17","Thursday","Winter","time03:00",5.424
"11/2/17","Thursday","Winter","time04:00",5.708
"11/2/17","Thursday","Winter","time05:00",5.676
"11/2/17","Thursday","Winter","time06:00",10.916
"11/2/17","Thursday","Winter","time07:00",14.976
"11/2/17","Thursday","Winter","time08:00",22.068
"11/2/17","Thursday","Winter","time09:00",24.016
"11/2/17","Thursday","Winter","time10:00",21.768
"11/2/17","Thursday","Winter","time11:00",23.472
"11/2/17","Thursday","Winter","time12:00",21.576
"11/2/17","Thursday","Winter","time13:00",21.636
"11/2/17","Thursday","Winter","time14:00",21.84
"11/2/17","Thursday","Winter","time15:00",18.348
"11/2/17","Thursday","Winter","time16:00",13.12
"11/2/17","Thursday","Winter","time17:00",11.324
"11/2/17","Thursday","Winter","time18:00",12.256
"11/2/17","Thursday","Winter","time19:00",10.24
"11/2/17","Thursday","Winter","time20:00",9.852
"11/2/17","Thursday","Winter","time21:00",7.58
"11/2/17","Thursday","Winter","time22:00",6.716
"11/2/17","Thursday","Winter","time23:00",5.624
"11/3/17","Friday","Winter","time00:00",5.46
"11/3/17","Friday","Winter","time01:00",5.312
"11/3/17","Friday","Winter","time02:00",5.376
"11/3/17","Friday","Winter","time03:00",5.308
"11/3/17","Friday","Winter","time04:00",5.58
"11/3/17","Friday","Winter","time05:00",5.528
"11/3/17","Friday","Winter","time06:00",9.988
"11/3/17","Friday","Winter","time07:00",14.264
"11/3/17","Friday","Winter","time08:00",19.488
"11/3/17","Friday","Winter","time09:00",22.72
"11/3/17","Friday","Winter","time10:00",21.984
"11/3/17","Friday","Winter","time11:00",25.388
