"DATE","day","season","variable","mean_kWh"
"9/1/17","Friday","Fall","time00:00",389.59
"9/1/17","Friday","Fall","time01:00",310
"9/1/17","Friday","Fall","time02:00",268.715
"9/1/17","Friday","Fall","time03:00",269.55
"9/1/17","Friday","Fall","time04:00",272.715
"9/1/17","Friday","Fall","time05:00",243.365
"9/1/17","Friday","Fall","time06:00",536.12
"9/1/17","Friday","Fall","time07:00",693.435
"9/1/17","Friday","Fall","time08:00",773.29
"9/1/17","Friday","Fall","time09:00",847.385
"9/1/17","Friday","Fall","time10:00",886.51
"9/1/17","Friday","Fall","time11:00",886.925
"9/1/17","Friday","Fall","time12:00",900.22
"9/1/17","Friday","Fall","time13:00",939.845
"9/1/17","Friday","Fall","time14:00",946.075
"9/1/17","Friday","Fall","time15:00",784.35
"9/1/17","Friday","Fall","time16:00",652.635
"9/1/17","Friday","Fall","time17:00",510.62
"9/1/17","Friday","Fall","time18:00",454.87
"9/1/17","Friday","Fall","time19:00",414.285
"9/1/17","Friday","Fall","time20:00",412.8
"9/1/17","Friday","Fall","time21:00",374.115
"9/1/17","Friday","Fall","time22:00",512.06
"9/1/17","Friday","Fall","time23:00",411.63
"9/2/17","Saturday","Fall","time00:00",302.81
"9/2/17","Saturday","Fall","time01:00",235.46
"9/2/17","Saturday","Fall","time02:00",170.45
"9/2/17","Saturday","Fall","time03:00",161.65
"9/2/17","Saturday","Fall","time04:00",163.22
"9/2/17","Saturday","Fall","time05:00",160.975
"9/2/17","Saturday","Fall","time06:00",196.05
"9/2/17","Saturday","Fall","time07:00",243.49
"9/2/17","Saturday","Fall","time08:00",270.885
"9/2/17","Saturday","Fall","time09:00",293.96
"9/2/17","Saturday","Fall","time10:00",313.71
"9/2/17","Saturday","Fall","time11:00",317.32
"9/2/17","Saturday","Fall","time12:00",314.745
"9/2/17","Saturday","Fall","time13:00",309.435
"9/2/17","Saturday","Fall","time14:00",309.61
"9/2/17","Saturday","Fall","time15:00",299.16
"9/2/17","Saturday","Fall","time16:00",301.68
"9/2/17","Saturday","Fall","time17:00",295.66
"9/2/17","Saturday","Fall","time18:00",273.5
"9/2/17","Saturday","Fall","time19:00",254.93
"9/2/17","Saturday","Fall","time20:00",271.765
"9/2/17","Saturday","Fall","time21:00",258.115
"9/2/17","Saturday","Fall","time22:00",342.895
"9/2/17","Saturday","Fall","time23:00",238.64
"9/3/17","Sunday","Fall","time00:00",244.675
"9/3/17","Sunday","Fall","time01:00",184.9
"9/3/17","Sunday","Fall","time02:00",175.5
"9/3/17","Sunday","Fall","time03:00",175.45
"9/3/17","Sunday","Fall","time04:00",175.81
"9/3/17","Sunday","Fall","time05:00",171.49
"9/3/17","Sunday","Fall","time06:00",179.655
"9/3/17","Sunday","Fall","time07:00",207.855
"9/3/17","Sunday","Fall","time08:00",213.395
"9/3/17","Sunday","Fall","time09:00",226.765
"9/3/17","Sunday","Fall","time10:00",235.915
"9/3/17","Sunday","Fall","time11:00",239.15
"9/3/17","Sunday","Fall","time12:00",223.1
"9/3/17","Sunday","Fall","time13:00",215.04
"9/3/17","Sunday","Fall","time14:00",214.7
"9/3/17","Sunday","Fall","time15:00",195.68
"9/3/17","Sunday","Fall","time16:00",193.35
"9/3/17","Sunday","Fall","time17:00",193.89
"9/3/17","Sunday","Fall","time18:00",189.955
"9/3/17","Sunday","Fall","time19:00",203.42
"9/3/17","Sunday","Fall","time20:00",225.235
"9/3/17","Sunday","Fall","time21:00",253.84
"9/3/17","Sunday","Fall","time22:00",420.44
"9/3/17","Sunday","Fall","time23:00",402.915
"9/4/17","Monday","Fall","time00:00",349.46
"9/4/17","Monday","Fall","time01:00",354.385
"9/4/17","Monday","Fall","time02:00",201.675
"9/4/17","Monday","Fall","time03:00",158.775
"9/4/17","Monday","Fall","time04:00",160.325
"9/4/17","Monday","Fall","time05:00",181.635
"9/4/17","Monday","Fall","time06:00",242.835
"9/4/17","Monday","Fall","time07:00",302.825
"9/4/17","Monday","Fall","time08:00",306.835
"9/4/17","Monday","Fall","time09:00",307.735
"9/4/17","Monday","Fall","time10:00",303.435
"9/4/17","Monday","Fall","time11:00",317.665
"9/4/17","Monday","Fall","time12:00",328.92
"9/4/17","Monday","Fall","time13:00",333.025
"9/4/17","Monday","Fall","time14:00",341.7
"9/4/17","Monday","Fall","time15:00",354.53
"9/4/17","Monday","Fall","time16:00",353.62
"9/4/17","Monday","Fall","time17:00",324.62
"9/4/17","Monday","Fall","time18:00",306.64
"9/4/17","Monday","Fall","time19:00",322.33
"9/4/17","Monday","Fall","time20:00",307.63
"9/4/17","Monday","Fall","time21:00",269.35
"9/4/17","Monday","Fall","time22:00",364.28
"9/4/17","Monday","Fall","time23:00",298.98
"9/5/17","Tuesday","Fall","time00:00",309.045
"9/5/17","Tuesday","Fall","time01:00",257.935
"9/5/17","Tuesday","Fall","time02:00",254.275
"9/5/17","Tuesday","Fall","time03:00",257.865
"9/5/17","Tuesday","Fall","time04:00",259.29
"9/5/17","Tuesday","Fall","time05:00",257.38
"9/5/17","Tuesday","Fall","time06:00",527.75
