"DATE","day","season","variable","mean_kWh"
"9/1/17","Friday","Fall","time00:00",263.233333333333
"9/1/17","Friday","Fall","time01:00",210.653333333333
"9/1/17","Friday","Fall","time02:00",182.583333333333
"9/1/17","Friday","Fall","time03:00",183.326666666667
"9/1/17","Friday","Fall","time04:00",185.383333333333
"9/1/17","Friday","Fall","time05:00",165.63
"9/1/17","Friday","Fall","time06:00",363.36
"9/1/17","Friday","Fall","time07:00",474.93
"9/1/17","Friday","Fall","time08:00",534.82
"9/1/17","Friday","Fall","time09:00",587.87
"9/1/17","Friday","Fall","time10:00",618.993333333333
"9/1/17","Friday","Fall","time11:00",623.67
"9/1/17","Friday","Fall","time12:00",633.72
"9/1/17","Friday","Fall","time13:00",666.123333333333
"9/1/17","Friday","Fall","time14:00",673.01
"9/1/17","Friday","Fall","time15:00",550.74
"9/1/17","Friday","Fall","time16:00",451.223333333333
"9/1/17","Friday","Fall","time17:00",351.08
"9/1/17","Friday","Fall","time18:00",311.633333333333
"9/1/17","Friday","Fall","time19:00",283.883333333333
"9/1/17","Friday","Fall","time20:00",281.68
"9/1/17","Friday","Fall","time21:00",255.223333333333
"9/1/17","Friday","Fall","time22:00",346.04
"9/1/17","Friday","Fall","time23:00",278.42
"9/2/17","Saturday","Fall","time00:00",205.433333333333
"9/2/17","Saturday","Fall","time01:00",160.746666666667
"9/2/17","Saturday","Fall","time02:00",117.153333333333
"9/2/17","Saturday","Fall","time03:00",111.126666666667
"9/2/17","Saturday","Fall","time04:00",112.506666666667
"9/2/17","Saturday","Fall","time05:00",110.73
"9/2/17","Saturday","Fall","time06:00",134.46
"9/2/17","Saturday","Fall","time07:00",165.66
"9/2/17","Saturday","Fall","time08:00",183.816666666667
"9/2/17","Saturday","Fall","time09:00",199.613333333333
"9/2/17","Saturday","Fall","time10:00",212.58
"9/2/17","Saturday","Fall","time11:00",215.453333333333
"9/2/17","Saturday","Fall","time12:00",213.976666666667
"9/2/17","Saturday","Fall","time13:00",211.01
"9/2/17","Saturday","Fall","time14:00",211.62
"9/2/17","Saturday","Fall","time15:00",205.013333333333
"9/2/17","Saturday","Fall","time16:00",206.826666666667
"9/2/17","Saturday","Fall","time17:00",203.12
"9/2/17","Saturday","Fall","time18:00",188.053333333333
"9/2/17","Saturday","Fall","time19:00",175.06
"9/2/17","Saturday","Fall","time20:00",185.91
"9/2/17","Saturday","Fall","time21:00",176.703333333333
"9/2/17","Saturday","Fall","time22:00",233.023333333333
"9/2/17","Saturday","Fall","time23:00",163.28
"9/3/17","Sunday","Fall","time00:00",166.863333333333
"9/3/17","Sunday","Fall","time01:00",127.066666666667
"9/3/17","Sunday","Fall","time02:00",120.533333333333
"9/3/17","Sunday","Fall","time03:00",120.42
"9/3/17","Sunday","Fall","time04:00",120.713333333333
"9/3/17","Sunday","Fall","time05:00",117.726666666667
"9/3/17","Sunday","Fall","time06:00",123.916666666667
"9/3/17","Sunday","Fall","time07:00",141.996666666667
"9/3/17","Sunday","Fall","time08:00",145.863333333333
"9/3/17","Sunday","Fall","time09:00",154.936666666667
"9/3/17","Sunday","Fall","time10:00",160.65
"9/3/17","Sunday","Fall","time11:00",163.74
"9/3/17","Sunday","Fall","time12:00",153.32
"9/3/17","Sunday","Fall","time13:00",148.426666666667
"9/3/17","Sunday","Fall","time14:00",148.306666666667
"9/3/17","Sunday","Fall","time15:00",135.653333333333
"9/3/17","Sunday","Fall","time16:00",134.393333333333
"9/3/17","Sunday","Fall","time17:00",134.62
"9/3/17","Sunday","Fall","time18:00",131.596666666667
"9/3/17","Sunday","Fall","time19:00",139.88
"9/3/17","Sunday","Fall","time20:00",154.996666666667
"9/3/17","Sunday","Fall","time21:00",173.68
"9/3/17","Sunday","Fall","time22:00",284.813333333333
"9/3/17","Sunday","Fall","time23:00",272.69
"9/4/17","Monday","Fall","time00:00",236.533333333333
"9/4/17","Monday","Fall","time01:00",239.95
"9/4/17","Monday","Fall","time02:00",137.983333333333
"9/4/17","Monday","Fall","time03:00",109.223333333333
"9/4/17","Monday","Fall","time04:00",110.403333333333
"9/4/17","Monday","Fall","time05:00",124.543333333333
"9/4/17","Monday","Fall","time06:00",165.836666666667
"9/4/17","Monday","Fall","time07:00",206.016666666667
"9/4/17","Monday","Fall","time08:00",208.956666666667
"9/4/17","Monday","Fall","time09:00",209.343333333333
"9/4/17","Monday","Fall","time10:00",206.65
"9/4/17","Monday","Fall","time11:00",217.096666666667
"9/4/17","Monday","Fall","time12:00",225.186666666667
"9/4/17","Monday","Fall","time13:00",227.47
"9/4/17","Monday","Fall","time14:00",233.32
"9/4/17","Monday","Fall","time15:00",241.673333333333
"9/4/17","Monday","Fall","time16:00",240.16
"9/4/17","Monday","Fall","time17:00",220.826666666667
"9/4/17","Monday","Fall","time18:00",208.88
"9/4/17","Monday","Fall","time19:00",219.126666666667
"9/4/17","Monday","Fall","time20:00",209.553333333333
"9/4/17","Monday","Fall","time21:00",183.86
"9/4/17","Monday","Fall","time22:00",247.12
"9/4/17","Monday","Fall","time23:00",203.293333333333
"9/5/17","Tuesday","Fall","time00:00",209.576666666667
"9/5/17","Tuesday","Fall","time01:00",175.743333333333
"9/5/17","Tuesday","Fall","time02:00",172.823333333333
"9/5/17","Tuesday","Fall","time03:00",175.296666666667
"9/5/17","Tuesday","Fall","time04:00",176.14
"9/5/17","Tuesday","Fall","time05:00",174.826666666667
"9/5/17","Tuesday","Fall","time06:00",359.273333333333
"9/5/17","Tuesday","Fall","time07:00",539.343333333333
"9/5/17","Tuesday","Fall","time08:00",590.78
"9/5/17","Tuesday","Fall","time09:00",607.703333333333
"9/5/17","Tuesday","Fall","time10:00",532.296666666667
"9/5/17","Tuesday","Fall","time11:00",508.53
"9/5/17","Tuesday","Fall","time12:00",506.663333333333
"9/5/17","Tuesday","Fall","time13:00",529.18
"9/5/17","Tuesday","Fall","time14:00",534.453333333333
"9/5/17","Tuesday","Fall","time15:00",498
"9/5/17","Tuesday","Fall","time16:00",423.43
"9/5/17","Tuesday","Fall","time17:00",337.606666666667
"9/5/17","Tuesday","Fall","time18:00",299.196666666667
