DATE,day,season,variable,mean_kWh
9/1/17,Friday,Fall,time00:00,18.04
9/1/17,Friday,Fall,time01:00,17
9/1/17,Friday,Fall,time02:00,16.65333333
9/1/17,Friday,Fall,time03:00,16.42666667
9/1/17,Friday,Fall,time04:00,17.04
9/1/17,Friday,Fall,time05:00,18.34666667
9/1/17,Friday,Fall,time06:00,37.17333333
9/1/17,Friday,Fall,time07:00,55.56
9/1/17,Friday,Fall,time08:00,82.94666667
9/1/17,Friday,Fall,time09:00,99.78666667
9/1/17,Friday,Fall,time10:00,115.5466667
9/1/17,Friday,Fall,time11:00,141.2933333
9/1/17,Friday,Fall,time12:00,150.8533333
9/1/17,Friday,Fall,time13:00,156.9733333
9/1/17,Friday,Fall,time14:00,162.6
9/1/17,Friday,Fall,time15:00,133.9466667
9/1/17,Friday,Fall,time16:00,79.4
9/1/17,Friday,Fall,time17:00,53.66666667
9/1/17,Friday,Fall,time18:00,48.94666667
9/1/17,Friday,Fall,time19:00,43.38666667
9/1/17,Friday,Fall,time20:00,39.38666667
9/1/17,Friday,Fall,time21:00,35.76
9/1/17,Friday,Fall,time22:00,26.76
9/1/17,Friday,Fall,time23:00,21.21333333
9/2/17,Saturday,Fall,time00:00,18.94666667
9/2/17,Saturday,Fall,time01:00,17.53333333
9/2/17,Saturday,Fall,time02:00,17
9/2/17,Saturday,Fall,time03:00,16.46666667
9/2/17,Saturday,Fall,time04:00,16.61333333
9/2/17,Saturday,Fall,time05:00,17.14666667
9/2/17,Saturday,Fall,time06:00,17.66666667
9/2/17,Saturday,Fall,time07:00,15.50666667
9/2/17,Saturday,Fall,time08:00,14.96
9/2/17,Saturday,Fall,time09:00,15.84
9/2/17,Saturday,Fall,time10:00,15.98666667
9/2/17,Saturday,Fall,time11:00,16.54666667
9/2/17,Saturday,Fall,time12:00,17.70666667
9/2/17,Saturday,Fall,time13:00,18.8
9/2/17,Saturday,Fall,time14:00,23.41333333
9/2/17,Saturday,Fall,time15:00,27.70666667
9/2/17,Saturday,Fall,time16:00,32.88
9/2/17,Saturday,Fall,time17:00,33.74666667
9/2/17,Saturday,Fall,time18:00,33.05333333
9/2/17,Saturday,Fall,time19:00,26.22666667
9/2/17,Saturday,Fall,time20:00,25.38666667
9/2/17,Saturday,Fall,time21:00,23.74666667
9/2/17,Saturday,Fall,time22:00,22.13333333
9/2/17,Saturday,Fall,time23:00,21
9/3/17,Sunday,Fall,time00:00,19.22666667
9/3/17,Sunday,Fall,time01:00,18.06666667
9/3/17,Sunday,Fall,time02:00,17.44
9/3/17,Sunday,Fall,time03:00,17.02666667
9/3/17,Sunday,Fall,time04:00,17.37333333
9/3/17,Sunday,Fall,time05:00,17.53333333
9/3/17,Sunday,Fall,time06:00,18.38666667
9/3/17,Sunday,Fall,time07:00,16.10666667
9/3/17,Sunday,Fall,time08:00,15.49333333
9/3/17,Sunday,Fall,time09:00,16.09333333
9/3/17,Sunday,Fall,time10:00,17.68
9/3/17,Sunday,Fall,time11:00,17.96
9/3/17,Sunday,Fall,time12:00,18.26666667
9/3/17,Sunday,Fall,time13:00,19.74666667
9/3/17,Sunday,Fall,time14:00,22.6
