"DATE","day","season","variable","mean_kWh"
"11/1/17","Wednesday","Winter","time00:00",165.69
"11/1/17","Wednesday","Winter","time01:00",107.46
"11/1/17","Wednesday","Winter","time02:00",85.4233333333333
"11/1/17","Wednesday","Winter","time03:00",85.6566666666667
"11/1/17","Wednesday","Winter","time04:00",86.09
"11/1/17","Wednesday","Winter","time05:00",106.016666666667
"11/1/17","Wednesday","Winter","time06:00",170.086666666667
"11/1/17","Wednesday","Winter","time07:00",229.013333333333
"11/1/17","Wednesday","Winter","time08:00",266.563333333333
"11/1/17","Wednesday","Winter","time09:00",295.003333333333
"11/1/17","Wednesday","Winter","time10:00",292.17
"11/1/17","Wednesday","Winter","time11:00",298.556666666667
"11/1/17","Wednesday","Winter","time12:00",297.76
"11/1/17","Wednesday","Winter","time13:00",303.873333333333
"11/1/17","Wednesday","Winter","time14:00",296.16
"11/1/17","Wednesday","Winter","time15:00",257.326666666667
"11/1/17","Wednesday","Winter","time16:00",227.93
"11/1/17","Wednesday","Winter","time17:00",190.77
"11/1/17","Wednesday","Winter","time18:00",249.433333333333
"11/1/17","Wednesday","Winter","time19:00",239.193333333333
"11/1/17","Wednesday","Winter","time20:00",214.756666666667
"11/1/17","Wednesday","Winter","time21:00",164.256666666667
"11/1/17","Wednesday","Winter","time22:00",194.5
"11/1/17","Wednesday","Winter","time23:00",172.096666666667
"11/2/17","Thursday","Winter","time00:00",145.233333333333
"11/2/17","Thursday","Winter","time01:00",99.5666666666667
"11/2/17","Thursday","Winter","time02:00",86.7733333333333
"11/2/17","Thursday","Winter","time03:00",85.5066666666667
"11/2/17","Thursday","Winter","time04:00",88.0666666666667
"11/2/17","Thursday","Winter","time05:00",111.57
"11/2/17","Thursday","Winter","time06:00",190.416666666667
"11/2/17","Thursday","Winter","time07:00",278.61
"11/2/17","Thursday","Winter","time08:00",284.553333333333
"11/2/17","Thursday","Winter","time09:00",288.196666666667
"11/2/17","Thursday","Winter","time10:00",290.096666666667
"11/2/17","Thursday","Winter","time11:00",286.153333333333
"11/2/17","Thursday","Winter","time12:00",279.926666666667
"11/2/17","Thursday","Winter","time13:00",281.903333333333
"11/2/17","Thursday","Winter","time14:00",278.313333333333
"11/2/17","Thursday","Winter","time15:00",244.54
"11/2/17","Thursday","Winter","time16:00",217.256666666667
"11/2/17","Thursday","Winter","time17:00",200.343333333333
"11/2/17","Thursday","Winter","time18:00",243.43
"11/2/17","Thursday","Winter","time19:00",239.696666666667
"11/2/17","Thursday","Winter","time20:00",214.206666666667
"11/2/17","Thursday","Winter","time21:00",167
"11/2/17","Thursday","Winter","time22:00",137.883333333333
"11/2/17","Thursday","Winter","time23:00",111.416666666667
"11/3/17","Friday","Winter","time00:00",111.486666666667
"11/3/17","Friday","Winter","time01:00",90.0133333333333
"11/3/17","Friday","Winter","time02:00",91.38
"11/3/17","Friday","Winter","time03:00",89.2733333333333
"11/3/17","Friday","Winter","time04:00",94.03
"11/3/17","Friday","Winter","time05:00",113.006666666667
"11/3/17","Friday","Winter","time06:00",184.593333333333
"11/3/17","Friday","Winter","time07:00",258.37
"11/3/17","Friday","Winter","time08:00",291.276666666667
"11/3/17","Friday","Winter","time09:00",288.35
"11/3/17","Friday","Winter","time10:00",298.053333333333
"11/3/17","Friday","Winter","time11:00",297.97
"11/3/17","Friday","Winter","time12:00",288.606666666667
"11/3/17","Friday","Winter","time13:00",296.393333333333
"11/3/17","Friday","Winter","time14:00",285.676666666667
"11/3/17","Friday","Winter","time15:00",284.543333333333
"11/3/17","Friday","Winter","time16:00",262.86
"11/3/17","Friday","Winter","time17:00",238.063333333333
"11/3/17","Friday","Winter","time18:00",277.973333333333
"11/3/17","Friday","Winter","time19:00",248.623333333333
"11/3/17","Friday","Winter","time20:00",223.39
"11/3/17","Friday","Winter","time21:00",194.146666666667
"11/3/17","Friday","Winter","time22:00",164.586666666667
"11/3/17","Friday","Winter","time23:00",148.79
"11/4/17","Saturday","Winter","time00:00",141.243333333333
"11/4/17","Saturday","Winter","time01:00",135.45
"11/4/17","Saturday","Winter","time02:00",134.14
"11/4/17","Saturday","Winter","time03:00",136.8
"11/4/17","Saturday","Winter","time04:00",119.126666666667
"11/4/17","Saturday","Winter","time05:00",100.116666666667
"11/4/17","Saturday","Winter","time06:00",108.343333333333
"11/4/17","Saturday","Winter","time07:00",135.873333333333
"11/4/17","Saturday","Winter","time08:00",132.126666666667
"11/4/17","Saturday","Winter","time09:00",136.416666666667
"11/4/17","Saturday","Winter","time10:00",137.41
"11/4/17","Saturday","Winter","time11:00",134.9
"11/4/17","Saturday","Winter","time12:00",131.056666666667
"11/4/17","Saturday","Winter","time13:00",129.846666666667
"11/4/17","Saturday","Winter","time14:00",126.96
"11/4/17","Saturday","Winter","time15:00",121.02
"11/4/17","Saturday","Winter","time16:00",118.553333333333
"11/4/17","Saturday","Winter","time17:00",146.713333333333
"11/4/17","Saturday","Winter","time18:00",196.346666666667
"11/4/17","Saturday","Winter","time19:00",208.11
"11/4/17","Saturday","Winter","time20:00",207.8
"11/4/17","Saturday","Winter","time21:00",190.256666666667
"11/4/17","Saturday","Winter","time22:00",162.906666666667
"11/4/17","Saturday","Winter","time23:00",154.466666666667
"11/5/17","Sunday","Winter","time00:00",120.486666666667
"11/5/17","Sunday","Winter","time01:00",102.581666666667
"11/5/17","Sunday","Winter","time02:00",84.1366666666667
"11/5/17","Sunday","Winter","time03:00",83.77
"11/5/17","Sunday","Winter","time04:00",85.9766666666667
"11/5/17","Sunday","Winter","time05:00",89.54
"11/5/17","Sunday","Winter","time06:00",90.68
"11/5/17","Sunday","Winter","time07:00",92.8333333333333
"11/5/17","Sunday","Winter","time08:00",95.6266666666667
"11/5/17","Sunday","Winter","time09:00",97.11
"11/5/17","Sunday","Winter","time10:00",98.36
"11/5/17","Sunday","Winter","time11:00",97.1566666666667
"11/5/17","Sunday","Winter","time12:00",95.92
"11/5/17","Sunday","Winter","time13:00",94.8966666666667
"11/5/17","Sunday","Winter","time14:00",89.6933333333333
"11/5/17","Sunday","Winter","time15:00",90.4933333333333
"11/5/17","Sunday","Winter","time16:00",91.13
"11/5/17","Sunday","Winter","time17:00",112.763333333333
"11/5/17","Sunday","Winter","time18:00",122.023333333333
"11/5/17","Sunday","Winter","time19:00",117.166666666667
"11/5/17","Sunday","Winter","time20:00",120.7
"11/5/17","Sunday","Winter","time21:00",114.98
"11/5/17","Sunday","Winter","time22:00",111.363333333333
"11/5/17","Sunday","Winter","time23:00",106.2
"11/6/17","Monday","Winter","time00:00",112.343333333333
"11/6/17","Monday","Winter","time01:00",84.6766666666667
"11/6/17","Monday","Winter","time02:00",84.5533333333333
"11/6/17","Monday","Winter","time03:00",84.4166666666667
"11/6/17","Monday","Winter","time04:00",85.43
"11/6/17","Monday","Winter","time05:00",113.136666666667
"11/6/17","Monday","Winter","time06:00",169.02
"11/6/17","Monday","Winter","time07:00",235.286666666667
"11/6/17","Monday","Winter","time08:00",277.416666666667
"11/6/17","Monday","Winter","time09:00",279.093333333333
"11/6/17","Monday","Winter","time10:00",288.876666666667
"11/6/17","Monday","Winter","time11:00",297.476666666667
"11/6/17","Monday","Winter","time12:00",290.886666666667
"11/6/17","Monday","Winter","time13:00",294.853333333333
"11/6/17","Monday","Winter","time14:00",287.953333333333
"11/6/17","Monday","Winter","time15:00",260.303333333333
"11/6/17","Monday","Winter","time16:00",233.16
"11/6/17","Monday","Winter","time17:00",277.63
"11/6/17","Monday","Winter","time18:00",282.883333333333
"11/6/17","Monday","Winter","time19:00",250.9
"11/6/17","Monday","Winter","time20:00",228.976666666667
"11/6/17","Monday","Winter","time21:00",175.1
"11/6/17","Monday","Winter","time22:00",200.41
"11/6/17","Monday","Winter","time23:00",172.073333333333
"11/7/17","Tuesday","Winter","time00:00",163.266666666667
"11/7/17","Tuesday","Winter","time01:00",148.356666666667
"11/7/17","Tuesday","Winter","time02:00",146.593333333333
"11/7/17","Tuesday","Winter","time03:00",146.586666666667
"11/7/17","Tuesday","Winter","time04:00",148.163333333333
"11/7/17","Tuesday","Winter","time05:00",165.44
"11/7/17","Tuesday","Winter","time06:00",174.606666666667
"11/7/17","Tuesday","Winter","time07:00",240.92
"11/7/17","Tuesday","Winter","time08:00",281.366666666667
