"DATE","day","season","variable","mean_kWh"
"11/1/17","Wednesday","Winter","time00:00",15.56
"11/1/17","Wednesday","Winter","time01:00",14.48
"11/1/17","Wednesday","Winter","time02:00",14.1733333333333
"11/1/17","Wednesday","Winter","time03:00",14.3733333333333
"11/1/17","Wednesday","Winter","time04:00",14.12
"11/1/17","Wednesday","Winter","time05:00",16.0133333333333
"11/1/17","Wednesday","Winter","time06:00",29.9466666666667
"11/1/17","Wednesday","Winter","time07:00",48.3333333333333
"11/1/17","Wednesday","Winter","time08:00",63.56
"11/1/17","Wednesday","Winter","time09:00",64.16
"11/1/17","Wednesday","Winter","time10:00",65.56
"11/1/17","Wednesday","Winter","time11:00",63.4133333333333
"11/1/17","Wednesday","Winter","time12:00",65.4
"11/1/17","Wednesday","Winter","time13:00",60.8
"11/1/17","Wednesday","Winter","time14:00",55.5466666666667
"11/1/17","Wednesday","Winter","time15:00",38.6133333333333
"11/1/17","Wednesday","Winter","time16:00",34.4266666666667
"11/1/17","Wednesday","Winter","time17:00",27.7866666666667
"11/1/17","Wednesday","Winter","time18:00",73.5466666666667
"11/1/17","Wednesday","Winter","time19:00",77.6
"11/1/17","Wednesday","Winter","time20:00",46.3066666666667
"11/1/17","Wednesday","Winter","time21:00",26.3733333333333
"11/1/17","Wednesday","Winter","time22:00",21.4533333333333
"11/1/17","Wednesday","Winter","time23:00",16.92
"11/2/17","Thursday","Winter","time00:00",16.0666666666667
"11/2/17","Thursday","Winter","time01:00",14.9066666666667
"11/2/17","Thursday","Winter","time02:00",14.44
"11/2/17","Thursday","Winter","time03:00",14.2933333333333
"11/2/17","Thursday","Winter","time04:00",14.24
"11/2/17","Thursday","Winter","time05:00",16.2133333333333
"11/2/17","Thursday","Winter","time06:00",27.1866666666667
"11/2/17","Thursday","Winter","time07:00",45.1733333333333
"11/2/17","Thursday","Winter","time08:00",59.7733333333333
"11/2/17","Thursday","Winter","time09:00",65.2
"11/2/17","Thursday","Winter","time10:00",64.7733333333333
"11/2/17","Thursday","Winter","time11:00",63.92
"11/2/17","Thursday","Winter","time12:00",63.9333333333333
"11/2/17","Thursday","Winter","time13:00",63.1333333333333
"11/2/17","Thursday","Winter","time14:00",65.7466666666667
"11/2/17","Thursday","Winter","time15:00",55.8133333333333
"11/2/17","Thursday","Winter","time16:00",39.88
"11/2/17","Thursday","Winter","time17:00",28.36
"11/2/17","Thursday","Winter","time18:00",75.5333333333333
"11/2/17","Thursday","Winter","time19:00",79.6533333333333
"11/2/17","Thursday","Winter","time20:00",59.7866666666667
"11/2/17","Thursday","Winter","time21:00",25.9466666666667
"11/2/17","Thursday","Winter","time22:00",20.6133333333333
"11/2/17","Thursday","Winter","time23:00",16.88
"11/3/17","Friday","Winter","time00:00",15.3733333333333
"11/3/17","Friday","Winter","time01:00",14.6133333333333
"11/3/17","Friday","Winter","time02:00",14.48
"11/3/17","Friday","Winter","time03:00",14.44
"11/3/17","Friday","Winter","time04:00",14.5066666666667
"11/3/17","Friday","Winter","time05:00",15.7733333333333
"11/3/17","Friday","Winter","time06:00",27.3733333333333
"11/3/17","Friday","Winter","time07:00",43.68
"11/3/17","Friday","Winter","time08:00",59.92
"11/3/17","Friday","Winter","time09:00",63.8266666666667
"11/3/17","Friday","Winter","time10:00",66.7066666666667
"11/3/17","Friday","Winter","time11:00",67.0533333333333
"11/3/17","Friday","Winter","time12:00",66.5466666666667
"11/3/17","Friday","Winter","time13:00",62.72
"11/3/17","Friday","Winter","time14:00",64.3066666666667
"11/3/17","Friday","Winter","time15:00",51.2133333333333
"11/3/17","Friday","Winter","time16:00",32.24
"11/3/17","Friday","Winter","time17:00",40.7466666666667
"11/3/17","Friday","Winter","time18:00",72.5066666666667
"11/3/17","Friday","Winter","time19:00",49.92
"11/3/17","Friday","Winter","time20:00",20.2133333333333
"11/3/17","Friday","Winter","time21:00",20.84
"11/3/17","Friday","Winter","time22:00",19.68
"11/3/17","Friday","Winter","time23:00",17.48
"11/4/17","Saturday","Winter","time00:00",15.2266666666667
"11/4/17","Saturday","Winter","time01:00",14.64
"11/4/17","Saturday","Winter","time02:00",13.96
"11/4/17","Saturday","Winter","time03:00",14.2533333333333
"11/4/17","Saturday","Winter","time04:00",13.84
"11/4/17","Saturday","Winter","time05:00",14.96
"11/4/17","Saturday","Winter","time06:00",16.52
"11/4/17","Saturday","Winter","time07:00",20.7866666666667
"11/4/17","Saturday","Winter","time08:00",18.8133333333333
"11/4/17","Saturday","Winter","time09:00",20.44
"11/4/17","Saturday","Winter","time10:00",20.8133333333333
"11/4/17","Saturday","Winter","time11:00",20.68
"11/4/17","Saturday","Winter","time12:00",19.0666666666667
"11/4/17","Saturday","Winter","time13:00",16.6266666666667
"11/4/17","Saturday","Winter","time14:00",13.7733333333333
"11/4/17","Saturday","Winter","time15:00",14.7066666666667
"11/4/17","Saturday","Winter","time16:00",13.0533333333333
"11/4/17","Saturday","Winter","time17:00",13.96
"11/4/17","Saturday","Winter","time18:00",16
"11/4/17","Saturday","Winter","time19:00",17.32
"11/4/17","Saturday","Winter","time20:00",16.8933333333333
"11/4/17","Saturday","Winter","time21:00",17
"11/4/17","Saturday","Winter","time22:00",17.0666666666667
"11/4/17","Saturday","Winter","time23:00",16.6933333333333
"11/5/17","Sunday","Winter","time00:00",14.9866666666667
