"variable","meankWh","count"
"time0000",3.39975409836066,2
"time0100",3.44770491803279,2
"time0200",3.47848770491803,2
"time0300",3.52573360655738,2
"time0400",3.60565573770492,2
"time0500",4.16745901639344,2
"time0600",8.67629508196721,2
"time0700",12.4502049180328,2
"time0800",16.1824590163934,2
"time0900",17.2987131147541,2
"time1000",16.5893565573771,2
"time1100",18.41275,2
"time1200",18.8066516393443,2
"time1300",19.8137418032787,2
"time1400",21.2911024590164,2
"time1500",21.698356557377,2
"time1600",14.8979508196721,2
"time1700",6.76950819672131,2
"time1800",5.28114754098361,2
"time1900",4.3716393442623,2
"time2000",3.63852459016393,2
"time2100",3.44147540983607,2
"time2200",3.38089754098361,2
"time2300",3.40844672131148,2
