"Date","Time","Electricity.Facility.J.","kWh"
"2006-Jan-01","1:00:00",47659512.24,13.2387534
"2006-Jan-01","2:00:00",49436629.47,13.73239708
"2006-Jan-01","3:00:00",49436629.47,13.73239708
"2006-Jan-01","4:00:00",49436629.47,13.73239708
"2006-Jan-01","5:00:00",49436629.47,13.73239708
"2006-Jan-01","6:00:00",49436629.47,13.73239708
"2006-Jan-01","7:00:00",74054775.24,20.5707709
"2006-Jan-01","8:00:00",49436629.47,13.73239708
"2006-Jan-01","9:00:00",49436629.47,13.73239708
"2006-Jan-01","10:00:00",49436629.47,13.73239708
"2006-Jan-01","11:00:00",49436629.47,13.73239708
"2006-Jan-01","12:00:00",49436629.47,13.73239708
"2006-Jan-01","13:00:00",49436629.47,13.73239708
"2006-Jan-01","14:00:00",49436629.47,13.73239708
"2006-Jan-01","15:00:00",49436629.47,13.73239708
"2006-Jan-01","16:00:00",49436629.47,13.73239708
"2006-Jan-01","17:00:00",49436629.47,13.73239708
"2006-Jan-01","18:00:00",49436629.47,13.73239708
"2006-Jan-01","19:00:00",49436629.47,13.73239708
"2006-Jan-01","20:00:00",49436629.47,13.73239708
"2006-Jan-01","21:00:00",49436629.47,13.73239708
"2006-Jan-01","22:00:00",47659512.24,13.2387534
"2006-Jan-01","23:00:00",47659512.24,13.2387534
"2006-Jan-02","0:00:00",47659512.24,13.2387534
"2006-Jan-02","1:00:00",47659512.24,13.2387534
"2006-Jan-02","2:00:00",47659512.24,13.2387534
"2006-Jan-02","3:00:00",47659517.7,13.23875492
"2006-Jan-02","4:00:00",49436629.47,13.73239708
"2006-Jan-02","5:00:00",49436629.47,13.73239708
"2006-Jan-02","6:00:00",49436629.47,13.73239708
"2006-Jan-02","7:00:00",74248378.37,20.62454955
"2006-Jan-02","8:00:00",126832405.9,35.23122386
"2006-Jan-02","9:00:00",186642107.8,51.84502994
"2006-Jan-02","10:00:00",186211723,51.72547861
"2006-Jan-02","11:00:00",186892080.5,51.91446681
"2006-Jan-02","12:00:00",187333472.4,52.03707567
"2006-Jan-02","13:00:00",187708392.8,52.14122022
"2006-Jan-02","14:00:00",188045756.1,52.23493225
"2006-Jan-02","15:00:00",188381950.9,52.32831969
"2006-Jan-02","16:00:00",188602557.7,52.38959936
"2006-Jan-02","17:00:00",185672715.5,51.57575431
"2006-Jan-02","18:00:00",134615683.4,37.39324539
"2006-Jan-02","19:00:00",134605309.4,37.39036372
"2006-Jan-02","20:00:00",134602705.7,37.38964047
"2006-Jan-02","21:00:00",134596422.4,37.38789511
"2006-Jan-02","22:00:00",51015542.27,14.17098396
"2006-Jan-02","23:00:00",47659512.24,13.2387534
"2006-Jan-03","0:00:00",47659512.24,13.2387534
"2006-Jan-03","1:00:00",47659512.24,13.2387534
"2006-Jan-03","2:00:00",47659512.24,13.2387534
"2006-Jan-03","3:00:00",47659512.24,13.2387534
"2006-Jan-03","4:00:00",49436629.47,13.73239708
"2006-Jan-03","5:00:00",49436629.47,13.73239708
"2006-Jan-03","6:00:00",49436629.47,13.73239708
"2006-Jan-03","7:00:00",74705995.14,20.75166532
"2006-Jan-03","8:00:00",126832406.4,35.231224
"2006-Jan-03","9:00:00",186775079.1,51.88196642
"2006-Jan-03","10:00:00",186295903.5,51.74886208
"2006-Jan-03","11:00:00",186856298.3,51.90452731
"2006-Jan-03","12:00:00",187181288.3,51.99480231
"2006-Jan-03","13:00:00",187424998.4,52.06249956
"2006-Jan-03","14:00:00",187628412,52.11900333
"2006-Jan-03","15:00:00",187803531.5,52.16764764
"2006-Jan-03","16:00:00",188000725,52.22242361
"2006-Jan-03","17:00:00",185332849.1,51.48134697
"2006-Jan-03","18:00:00",134587310.3,37.38536397
"2006-Jan-03","19:00:00",134584360.2,37.3845445
"2006-Jan-03","20:00:00",134582743,37.38409528
"2006-Jan-03","21:00:00",134580475.9,37.38346553
"2006-Jan-03","22:00:00",51015541.76,14.17098382
"2006-Jan-03","23:00:00",47659512.24,13.2387534
"2006-Jan-04","0:00:00",47659512.24,13.2387534
"2006-Jan-04","1:00:00",47659512.24,13.2387534
"2006-Jan-04","2:00:00",49436629.47,13.73239708
"2006-Jan-04","3:00:00",49436629.47,13.73239708
"2006-Jan-04","4:00:00",49436629.47,13.73239708
"2006-Jan-04","5:00:00",49436629.47,13.73239708
"2006-Jan-04","6:00:00",49436629.47,13.73239708
"2006-Jan-04","7:00:00",74519117.88,20.69975497
"2006-Jan-04","8:00:00",126832406.1,35.23122392
"2006-Jan-04","9:00:00",186734755.8,51.8707655
"2006-Jan-04","10:00:00",186246694.3,51.73519286
"2006-Jan-04","11:00:00",186844543.8,51.90126217
"2006-Jan-04","12:00:00",187184019,51.99556083
"2006-Jan-04","13:00:00",187501838.8,52.08384411
"2006-Jan-04","14:00:00",187709640.1,52.14156669
"2006-Jan-04","15:00:00",187946344.4,52.20731789
"2006-Jan-04","16:00:00",188032966.3,52.23137953
"2006-Jan-04","17:00:00",185381015.5,51.49472653
"2006-Jan-04","18:00:00",134595022.6,37.38750628
"2006-Jan-04","19:00:00",134598222.4,37.38839511
"2006-Jan-04","20:00:00",134594495.5,37.38735986
"2006-Jan-04","21:00:00",134591846.2,37.38662394
"2006-Jan-04","22:00:00",51015541.94,14.17098387
"2006-Jan-04","23:00:00",47659512.24,13.2387534
"2006-Jan-05","0:00:00",47659512.24,13.2387534
"2006-Jan-05","1:00:00",47659512.24,13.2387534
"2006-Jan-05","2:00:00",47659512.24,13.2387534
"2006-Jan-05","3:00:00",47659513.19,13.23875366
"2006-Jan-05","4:00:00",49436629.47,13.73239708
"2006-Jan-05","5:00:00",49436629.47,13.73239708
"2006-Jan-05","6:00:00",49436629.47,13.73239708
"2006-Jan-05","7:00:00",74924042.02,20.81223389
"2006-Jan-05","8:00:00",126832406.5,35.23122403
"2006-Jan-05","9:00:00",186795194,51.88755389
"2006-Jan-05","10:00:00",186400563.6,51.77793433
"2006-Jan-05","11:00:00",186975776.4,51.93771567
"2006-Jan-05","12:00:00",187403871.8,52.05663106
"2006-Jan-05","13:00:00",187753210.4,52.15366956
"2006-Jan-05","14:00:00",188131026,52.25861833
"2006-Jan-05","15:00:00",188457186.4,52.34921844
"2006-Jan-05","16:00:00",188634292.1,52.39841447
"2006-Jan-05","17:00:00",184717025.3,51.31028481
"2006-Jan-05","18:00:00",134592923.1,37.38692308
"2006-Jan-05","19:00:00",134583302.8,37.38425078
"2006-Jan-05","20:00:00",134581974.9,37.38388192
"2006-Jan-05","21:00:00",134578141.7,37.38281714
"2006-Jan-05","22:00:00",51015540.92,14.17098359
"2006-Jan-05","23:00:00",47659512.24,13.2387534
"2006-Jan-06","0:00:00",49436629.47,13.73239708
"2006-Jan-06","1:00:00",49436629.47,13.73239708
"2006-Jan-06","2:00:00",49436629.47,13.73239708
"2006-Jan-06","3:00:00",49436629.47,13.73239708
"2006-Jan-06","4:00:00",49436629.47,13.73239708
"2006-Jan-06","5:00:00",49436629.47,13.73239708
"2006-Jan-06","6:00:00",49436629.47,13.73239708
"2006-Jan-06","7:00:00",72971966.43,20.26999068
"2006-Jan-06","8:00:00",126832406.4,35.231224
"2006-Jan-06","9:00:00",186199675.3,51.72213203
"2006-Jan-06","10:00:00",187771447.5,52.15873542
"2006-Jan-06","11:00:00",187655628.9,52.12656358
"2006-Jan-06","12:00:00",188900316.8,52.47231022
"2006-Jan-06","13:00:00",189922676.3,52.75629897
"2006-Jan-06","14:00:00",190611606.6,52.9476685
"2006-Jan-06","15:00:00",191855853.9,53.29329275
"2006-Jan-06","16:00:00",192038980,53.34416111
"2006-Jan-06","17:00:00",176543629.6,49.03989711
"2006-Jan-06","18:00:00",126832408.8,35.23122467
"2006-Jan-06","19:00:00",134660781.9,37.40577275
"2006-Jan-06","20:00:00",134574910,37.38191944
"2006-Jan-06","21:00:00",134574274.5,37.38174292
"2006-Jan-06","22:00:00",51015540.92,14.17098359
"2006-Jan-06","23:00:00",49436629.47,13.73239708
"2006-Jan-07","0:00:00",49436629.47,13.73239708
"2006-Jan-07","1:00:00",49436629.47,13.73239708
"2006-Jan-07","2:00:00",49436629.47,13.73239708
"2006-Jan-07","3:00:00",49436629.47,13.73239708
"2006-Jan-07","4:00:00",49436629.47,13.73239708
"2006-Jan-07","5:00:00",49436629.47,13.73239708
"2006-Jan-07","6:00:00",49436629.47,13.73239708
"2006-Jan-07","7:00:00",71688436.55,19.9134546
"2006-Jan-07","8:00:00",52792658.17,14.66462727
"2006-Jan-07","9:00:00",52792658.15,14.66462726
