Date,Time,Electricity.Facility.J.,kWh,Month,Season,Day
0006-01-01,0:00,47659512.24,13.2387534,1,Winter,Sunday
0006-01-01,1:00,47659512.24,13.2387534,1,Winter,Sunday
0006-01-01,2:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,3:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,4:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,5:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,6:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,7:00,74054775.24,20.5707709,1,Winter,Sunday
0006-01-01,8:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,9:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,10:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,11:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,12:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,13:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,14:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,15:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,16:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,17:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,18:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,19:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,20:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,21:00,49436629.47,13.73239708,1,Winter,Sunday
0006-01-01,22:00,47659512.24,13.2387534,1,Winter,Sunday
0006-01-01,23:00,47659512.24,13.2387534,1,Winter,Sunday
0006-01-02,0:00,47659512.24,13.2387534,1,Winter,Monday
0006-01-02,1:00,47659512.24,13.2387534,1,Winter,Monday
0006-01-02,2:00,47659512.24,13.2387534,1,Winter,Monday
0006-01-02,3:00,47659517.7,13.23875492,1,Winter,Monday
0006-01-02,4:00,49436629.47,13.73239708,1,Winter,Monday
0006-01-02,5:00,49436629.47,13.73239708,1,Winter,Monday
0006-01-02,6:00,49436629.47,13.73239708,1,Winter,Monday
0006-01-02,7:00,74248378.37,20.62454955,1,Winter,Monday
0006-01-02,8:00,126832405.9,35.23122386,1,Winter,Monday
0006-01-02,9:00,186642107.8,51.84502994,1,Winter,Monday
0006-01-02,10:00,186211723,51.72547861,1,Winter,Monday
0006-01-02,11:00,186892080.5,51.91446681,1,Winter,Monday
0006-01-02,12:00,187333472.4,52.03707567,1,Winter,Monday
0006-01-02,13:00,187708392.8,52.14122022,1,Winter,Monday
0006-01-02,14:00,188045756.1,52.23493225,1,Winter,Monday
0006-01-02,15:00,188381950.9,52.32831969,1,Winter,Monday
0006-01-02,16:00,188602557.7,52.38959936,1,Winter,Monday
0006-01-02,17:00,185672715.5,51.57575431,1,Winter,Monday
0006-01-02,18:00,134615683.4,37.39324539,1,Winter,Monday
0006-01-02,19:00,134605309.4,37.39036372,1,Winter,Monday
0006-01-02,20:00,134602705.7,37.38964047,1,Winter,Monday
0006-01-02,21:00,134596422.4,37.38789511,1,Winter,Monday
0006-01-02,22:00,51015542.27,14.17098396,1,Winter,Monday
0006-01-02,23:00,47659512.24,13.2387534,1,Winter,Monday
0006-01-03,0:00,47659512.24,13.2387534,1,Winter,Tuesday
0006-01-03,1:00,47659512.24,13.2387534,1,Winter,Tuesday
0006-01-03,2:00,47659512.24,13.2387534,1,Winter,Tuesday
0006-01-03,3:00,47659512.24,13.2387534,1,Winter,Tuesday
0006-01-03,4:00,49436629.47,13.73239708,1,Winter,Tuesday
0006-01-03,5:00,49436629.47,13.73239708,1,Winter,Tuesday
0006-01-03,6:00,49436629.47,13.73239708,1,Winter,Tuesday
0006-01-03,7:00,74705995.14,20.75166532,1,Winter,Tuesday
0006-01-03,8:00,126832406.4,35.231224,1,Winter,Tuesday
0006-01-03,9:00,186775079.1,51.88196642,1,Winter,Tuesday
0006-01-03,10:00,186295903.5,51.74886208,1,Winter,Tuesday
