"DATE","Site.Conditioned.Area..Square.Feet..SF.","variable","value"
"9/1/17",18780,"time00:00",1.3609747301017e-08
"9/1/17",42723,"time00:00",5.47868735312286e-10
"9/1/17",50096,"time00:00",1.78513848747358e-09
"9/1/17",18780,"time01:00",1.3609747301017e-08
"9/1/17",42723,"time01:00",5.69783484724778e-10
"9/1/17",50096,"time01:00",2.04015827139838e-09
"9/1/17",18780,"time02:00",1.19085288883899e-08
"9/1/17",42723,"time02:00",5.69783484724778e-10
"9/1/17",50096,"time02:00",1.72138354149238e-09
"9/1/17",18780,"time03:00",1.19085288883899e-08
"9/1/17",42723,"time03:00",5.69783484724778e-10
"9/1/17",50096,"time03:00",1.65762859551118e-09
"9/1/17",18780,"time04:00",1.3609747301017e-08
"9/1/17",42723,"time04:00",5.47868735312286e-10
"9/1/17",50096,"time04:00",1.91264837943598e-09
"9/1/17",18780,"time05:00",1.10579196820763e-08
"9/1/17",42723,"time05:00",2.91466167186136e-09
"9/1/17",50096,"time05:00",1.72138354149238e-09
"9/1/17",18780,"time06:00",2.55182761894069e-08
"9/1/17",42723,"time06:00",4.04765421648717e-08
"9/1/17",50096,"time06:00",8.35189792353711e-09
"9/1/17",18780,"time07:00",7.74054377745341e-08
"9/1/17",42723,"time07:00",2.15860281713041e-08
"9/1/17",50096,"time07:00",8.73442759942431e-09
"9/1/17",18780,"time08:00",8.84633574566104e-08
"9/1/17",42723,"time08:00",2.62538697961648e-08
"9/1/17",50096,"time08:00",1.28147441422211e-08
"9/1/17",18780,"time09:00",9.61188403134325e-08
"9/1/17",42723,"time09:00",3.69701822588731e-08
"9/1/17",50096,"time09:00",1.61300013332434e-08
"9/1/17",18780,"time10:00",1.07176759995509e-07
"9/1/17",42723,"time10:00",4.3698010328508e-08
"9/1/17",50096,"time10:00",1.83614244425854e-08
"9/1/17",18780,"time11:00",1.36948082216483e-07
"9/1/17",42723,"time11:00",4.93081861781058e-08
"9/1/17",50096,"time11:00",2.35255750670626e-08
"9/1/17",18780,"time12:00",1.49707220311187e-07
"9/1/17",42723,"time12:00",5.09737071334551e-08
"9/1/17",50096,"time12:00",2.61395278522917e-08
"9/1/17",18780,"time13:00",1.79478542532162e-07
"9/1/17",42723,"time13:00",6.19310818397008e-08
"9/1/17",50096,"time13:00",2.78609113937841e-08
"9/1/17",18780,"time14:00",1.82030370151102e-07
"9/1/17",42723,"time14:00",6.45827665186123e-08
"9/1/17",50096,"time14:00",2.83071960156525e-08
"9/1/17",18780,"time15:00",1.75225496500594e-07
"9/1/17",42723,"time15:00",6.53497827480495e-08
"9/1/17",50096,"time15:00",2.84347059076149e-08
"9/1/17",18780,"time16:00",1.28441990153348e-07
"9/1/17",42723,"time16:00",4.75111767262815e-08
"9/1/17",50096,"time16:00",2.55019783924797e-08
"9/1/17",18780,"time17:00",9.18657942818647e-08
"9/1/17",42723,"time17:00",5.69783484724778e-10
"9/1/17",50096,"time17:00",1.83614244425854e-08
"9/1/17",18780,"time18:00",5.27377707914408e-08
"9/1/17",42723,"time18:00",5.69783484724778e-10
"9/1/17",50096,"time18:00",1.96365233622094e-08
"9/1/17",18780,"time19:00",2.97713222209747e-08
"9/1/17",42723,"time19:00",5.69783484724778e-10
"9/1/17",50096,"time19:00",1.90627288483786e-08
"9/1/17",18780,"time20:00",2.29664485704662e-08
"9/1/17",42723,"time20:00",5.91698234137269e-10
"9/1/17",50096,"time20:00",1.7915139820717e-08
"9/1/17",18780,"time21:00",1.95640117452119e-08
"9/1/17",42723,"time21:00",5.47868735312286e-10
"9/1/17",50096,"time21:00",5.54668030036434e-09
"9/1/17",18780,"time22:00",1.70121841262712e-08
"9/1/17",42723,"time22:00",5.69783484724778e-10
"9/1/17",50096,"time22:00",2.35893300130438e-09
"9/1/17",18780,"time23:00",1.70121841262712e-08
"9/1/17",42723,"time23:00",5.47868735312286e-10
"9/1/17",50096,"time23:00",2.16766816336078e-09
"9/2/17",18780,"time00:00",1.70121841262712e-08
"9/2/17",42723,"time00:00",5.69783484724778e-10
"9/2/17",50096,"time00:00",2.29517805532318e-09
"9/2/17",18780,"time01:00",1.53109657136441e-08
"9/2/17",42723,"time01:00",5.69783484724778e-10
"9/2/17",50096,"time01:00",2.16766816336078e-09
"9/2/17",18780,"time02:00",1.3609747301017e-08
"9/2/17",42723,"time02:00",5.69783484724778e-10
"9/2/17",50096,"time02:00",2.16766816336078e-09
"9/2/17",18780,"time03:00",1.3609747301017e-08
"9/2/17",42723,"time03:00",5.69783484724778e-10
"9/2/17",50096,"time03:00",2.23142310934198e-09
"9/2/17",18780,"time04:00",1.19085288883899e-08
"9/2/17",42723,"time04:00",5.69783484724778e-10
"9/2/17",50096,"time04:00",2.16766816336078e-09
"9/2/17",18780,"time05:00",1.27591380947034e-08
"9/2/17",42723,"time05:00",5.69783484724778e-10
"9/2/17",50096,"time05:00",2.16766816336078e-09
"9/2/17",18780,"time06:00",1.44603565073305e-08
"9/2/17",42723,"time06:00",5.69783484724778e-10
"9/2/17",50096,"time06:00",4.33533632672155e-09
"9/2/17",18780,"time07:00",9.35670126944918e-09
"9/2/17",42723,"time07:00",5.47868735312286e-10
"9/2/17",50096,"time07:00",4.97288578653355e-09
"9/2/17",18780,"time08:00",1.19085288883899e-08
"9/2/17",42723,"time08:00",5.47868735312286e-10
"9/2/17",50096,"time08:00",4.97288578653355e-09
"9/2/17",18780,"time09:00",1.27591380947034e-08
"9/2/17",42723,"time09:00",5.69783484724778e-10
"9/2/17",50096,"time09:00",5.03664073251475e-09
"9/2/17",18780,"time10:00",2.21158393641526e-08
"9/2/17",42723,"time10:00",5.69783484724778e-10
"9/2/17",50096,"time10:00",2.99648246111637e-09
"9/2/17",18780,"time11:00",2.04146209515255e-08
"9/2/17",42723,"time11:00",5.69783484724778e-10
"9/2/17",50096,"time11:00",4.52660116466515e-09
"9/2/17",18780,"time12:00",2.1265230157839e-08
"9/2/17",42723,"time12:00",5.47868735312286e-10
"9/2/17",50096,"time12:00",4.39909127270275e-09
"9/2/17",18780,"time13:00",2.38170577767797e-08
"9/2/17",42723,"time13:00",5.91698234137269e-10
"9/2/17",50096,"time13:00",3.95280665083436e-09
"9/2/17",18780,"time14:00",2.89207130146611e-08
"9/2/17",42723,"time14:00",5.69783484724778e-10
"9/2/17",50096,"time14:00",4.59035611064635e-09
"9/2/17",18780,"time15:00",2.89207130146611e-08
"9/2/17",42723,"time15:00",4.82124487074812e-10
"9/2/17",50096,"time15:00",2.48644289326677e-09
"9/2/17",18780,"time16:00",3.91280234904238e-08
"9/2/17",42723,"time16:00",3.50635990599863e-10
"9/2/17",50096,"time16:00",1.84889343345478e-09
"9/2/17",18780,"time17:00",3.91280234904238e-08
"9/2/17",42723,"time17:00",4.16380238837338e-10
"9/2/17",50096,"time17:00",1.59387364952998e-09
"9/2/17",18780,"time18:00",3.57255866651696e-08
"9/2/17",42723,"time18:00",5.69783484724778e-10
"9/2/17",50096,"time18:00",1.72138354149238e-09
"9/2/17",18780,"time19:00",2.80701038083475e-08
"9/2/17",42723,"time19:00",5.69783484724778e-10
"9/2/17",50096,"time19:00",2.04015827139838e-09
"9/2/17",18780,"time20:00",2.38170577767797e-08
"9/2/17",42723,"time20:00",5.69783484724778e-10
"9/2/17",50096,"time20:00",2.29517805532318e-09
"9/2/17",18780,"time21:00",1.95640117452119e-08
"9/2/17",42723,"time21:00",5.69783484724778e-10
"9/2/17",50096,"time21:00",1.97640332541718e-09
"9/2/17",18780,"time22:00",1.95640117452119e-08
"9/2/17",42723,"time22:00",5.69783484724778e-10
"9/2/17",50096,"time22:00",2.16766816336078e-09
"9/2/17",18780,"time23:00",1.70121841262712e-08
"9/2/17",42723,"time23:00",5.47868735312286e-10
"9/2/17",50096,"time23:00",1.78513848747358e-09
"9/3/17",18780,"time00:00",1.78627933325848e-08
"9/3/17",42723,"time00:00",5.47868735312286e-10
"9/3/17",50096,"time00:00",2.23142310934198e-09
"9/3/17",18780,"time01:00",1.44603565073305e-08
"9/3/17",42723,"time01:00",5.47868735312286e-10
"9/3/17",50096,"time01:00",1.97640332541718e-09
"9/3/17",18780,"time02:00",1.53109657136441e-08
"9/3/17",42723,"time02:00",5.69783484724778e-10
"9/3/17",50096,"time02:00",1.84889343345478e-09
"9/3/17",18780,"time03:00",1.44603565073305e-08
"9/3/17",42723,"time03:00",5.69783484724778e-10
"9/3/17",50096,"time03:00",1.91264837943598e-09
"9/3/17",18780,"time04:00",1.3609747301017e-08
"9/3/17",42723,"time04:00",2.3010486883116e-09
"9/3/17",50096,"time04:00",2.10391321737958e-09
"9/3/17",18780,"time05:00",1.19085288883899e-08
"9/3/17",42723,"time05:00",1.39158658769321e-08
"9/3/17",50096,"time05:00",1.97640332541718e-09
"9/3/17",18780,"time06:00",1.44603565073305e-08
"9/3/17",42723,"time06:00",1.10888632027207e-08
"9/3/17",50096,"time06:00",2.29517805532318e-09
"9/3/17",18780,"time07:00",2.55182761894069e-08
"9/3/17",42723,"time07:00",9.31376850030887e-09
"9/3/17",50096,"time07:00",1.65762859551118e-09
"9/3/17",18780,"time08:00",4.8484724759873e-08
"9/3/17",42723,"time08:00",1.06943977132958e-08
"9/3/17",50096,"time08:00",1.91264837943598e-09
"9/3/17",18780,"time09:00",4.42316787283052e-08
"9/3/17",42723,"time09:00",1.0387591221521e-08
"9/3/17",50096,"time09:00",1.53011870354878e-09
"9/3/17",18780,"time10:00",2.97713222209747e-08
"9/3/17",42723,"time10:00",1.284204315572e-08
"9/3/17",50096,"time10:00",1.53011870354878e-09
"9/3/17",18780,"time11:00",3.06219314272882e-08
"9/3/17",42723,"time11:00",1.33022528933823e-08
"9/3/17",50096,"time11:00",1.72138354149238e-09
"9/3/17",18780,"time12:00",2.7219494602034e-08
"9/3/17",42723,"time12:00",1.20311974274578e-08
"9/3/17",50096,"time12:00",1.59387364952998e-09
"9/3/17",18780,"time13:00",3.57255866651696e-08
"9/3/17",42723,"time13:00",5.91698234137269e-10
"9/3/17",50096,"time13:00",1.91264837943598e-09
"9/3/17",18780,"time14:00",2.7219494602034e-08
"9/3/17",42723,"time14:00",5.25953985899795e-10
"9/3/17",50096,"time14:00",2.55019783924797e-09
"9/3/17",18780,"time15:00",2.84954084115043e-08
"9/3/17",42723,"time15:00",3.72550740012355e-10
"9/3/17",50096,"time15:00",2.23142310934198e-09
"9/3/17",18780,"time16:00",2.97713222209747e-08
"9/3/17",42723,"time16:00",4.16380238837338e-10
"9/3/17",50096,"time16:00",2.29517805532318e-09
"9/3/17",18780,"time17:00",2.63688853957204e-08
"9/3/17",42723,"time17:00",5.25953985899795e-10
"9/3/17",50096,"time17:00",2.10391321737958e-09
"9/3/17",18780,"time18:00",2.63688853957204e-08
"9/3/17",42723,"time18:00",5.69783484724778e-10
"9/3/17",50096,"time18:00",1.84889343345478e-09
"9/3/17",18780,"time19:00",2.38170577767797e-08
"9/3/17",42723,"time19:00",5.69783484724778e-10
"9/3/17",50096,"time19:00",1.97640332541718e-09
"9/3/17",18780,"time20:00",2.1265230157839e-08
"9/3/17",42723,"time20:00",5.91698234137269e-10
"9/3/17",50096,"time20:00",2.29517805532318e-09
"9/3/17",18780,"time21:00",1.78627933325848e-08
"9/3/17",42723,"time21:00",5.69783484724778e-10
"9/3/17",50096,"time21:00",2.10391321737958e-09
"9/3/17",18780,"time22:00",1.78627933325848e-08
"9/3/17",42723,"time22:00",5.47868735312286e-10
"9/3/17",50096,"time22:00",2.29517805532318e-09
"9/3/17",18780,"time23:00",1.53109657136441e-08
"9/3/17",42723,"time23:00",5.69783484724778e-10
"9/3/17",50096,"time23:00",2.35893300130438e-09
"9/4/17",18780,"time00:00",1.44603565073305e-08
"9/4/17",42723,"time00:00",5.69783484724778e-10
"9/4/17",50096,"time00:00",2.16766816336078e-09
"9/4/17",18780,"time01:00",1.44603565073305e-08
"9/4/17",42723,"time01:00",5.69783484724778e-10
"9/4/17",50096,"time01:00",1.97640332541718e-09
"9/4/17",18780,"time02:00",1.44603565073305e-08
"9/4/17",42723,"time02:00",5.47868735312286e-10
"9/4/17",50096,"time02:00",2.16766816336078e-09
"9/4/17",18780,"time03:00",1.3609747301017e-08
"9/4/17",42723,"time03:00",5.47868735312286e-10
"9/4/17",50096,"time03:00",1.97640332541718e-09
"9/4/17",18780,"time04:00",1.27591380947034e-08
"9/4/17",42723,"time04:00",5.69783484724778e-10
"9/4/17",50096,"time04:00",1.84889343345478e-09
