"variable","meankWh","count"
"time0000",170.847967213115,5
"time0100",145.11968852459,5
"time0200",129.070770491803,5
"time0300",120.046836065574,5
"time0400",117.912967213115,5
"time0500",131.284604918033,5
"time0600",198.368306557377,5
"time0700",247.359275409836,5
"time0800",269.740714754098,5
"time0900",279.672786885246,5
"time1000",285.030950819672,5
"time1100",287.945804918033,5
"time1200",284.952654098361,5
"time1300",292.409967213115,5
"time1400",288.868918032787,5
"time1500",268.016786885246,5
"time1600",241.983357377049,5
"time1700",232.70513442623,5
"time1800",234.225475409836,5
"time1900",237.534852459016,5
"time2000",223.718524590164,5
"time2100",191.539409836066,5
"time2200",215.885081967213,5
"time2300",190.021508196721,5
