"Date","Time","Electricity.Facility.J.","kWh"
"2006-Jan-01","1:00:00",128894495,35.8040264
"2006-Jan-01","2:00:00",128894495,35.8040264
"2006-Jan-01","3:00:00",134046566.4,37.23515733
"2006-Jan-01","4:00:00",134046566.4,37.23515733
"2006-Jan-01","5:00:00",134046566.4,37.23515733
"2006-Jan-01","6:00:00",134046566.4,37.23515733
"2006-Jan-01","7:00:00",211415697.9,58.72658274
"2006-Jan-01","8:00:00",216163888.4,60.04552455
"2006-Jan-01","9:00:00",180315477.8,50.08763272
"2006-Jan-01","10:00:00",180917527,50.25486861
"2006-Jan-01","11:00:00",134046566.4,37.23515733
"2006-Jan-01","12:00:00",180449955,50.1249875
"2006-Jan-01","13:00:00",180827552.8,50.22987577
"2006-Jan-01","14:00:00",181102392.6,50.30622015
"2006-Jan-01","15:00:00",180388054.6,50.10779296
"2006-Jan-01","16:00:00",134046566.4,37.23515733
"2006-Jan-01","17:00:00",180847760.3,50.23548897
"2006-Jan-01","18:00:00",181028293.4,50.28563707
"2006-Jan-01","19:00:00",181305982.2,50.36277282
"2006-Jan-01","20:00:00",180430642.1,50.11962282
"2006-Jan-01","21:00:00",134046566.4,37.23515733
"2006-Jan-01","22:00:00",128894495,35.8040264
"2006-Jan-01","23:00:00",128894495,35.8040264
"2006-Jan-02","0:00:00",128894495,35.8040264
"2006-Jan-02","1:00:00",128894495,35.8040264
"2006-Jan-02","2:00:00",128894495,35.8040264
"2006-Jan-02","3:00:00",128894495,35.8040264
"2006-Jan-02","4:00:00",134046566.4,37.23515733
"2006-Jan-02","5:00:00",134046566.4,37.23515733
"2006-Jan-02","6:00:00",134046566.4,37.23515733
"2006-Jan-02","7:00:00",211997001.5,58.88805596
"2006-Jan-02","8:00:00",396737774.6,110.2049374
"2006-Jan-02","9:00:00",545554690.8,151.5429697
"2006-Jan-02","10:00:00",549161366.7,152.5448241
"2006-Jan-02","11:00:00",551800856.1,153.2780156
"2006-Jan-02","12:00:00",554057747.7,153.9049299
"2006-Jan-02","13:00:00",550982582.9,153.0507175
"2006-Jan-02","14:00:00",552929657.3,153.5915715
"2006-Jan-02","15:00:00",554800705.7,154.1113072
"2006-Jan-02","16:00:00",556376913.9,154.5491427
"2006-Jan-02","17:00:00",540777491.9,150.21597
"2006-Jan-02","18:00:00",420846342.7,116.9017619
"2006-Jan-02","19:00:00",420817295.4,116.8936932
"2006-Jan-02","20:00:00",420810250.1,116.8917362
"2006-Jan-02","21:00:00",420792821.9,116.886895
"2006-Jan-02","22:00:00",163319889.8,45.36663606
"2006-Jan-02","23:00:00",128894495,35.8040264
"2006-Jan-03","0:00:00",128894495,35.8040264
"2006-Jan-03","1:00:00",128894495,35.8040264
"2006-Jan-03","2:00:00",128894495,35.8040264
"2006-Jan-03","3:00:00",128894495,35.8040264
"2006-Jan-03","4:00:00",128894495,35.8040264
"2006-Jan-03","5:00:00",128894495,35.8040264
"2006-Jan-03","6:00:00",128894495,35.8040264
"2006-Jan-03","7:00:00",218840544,60.78903999
"2006-Jan-03","8:00:00",420715109.4,116.8653082
"2006-Jan-03","9:00:00",552250949.3,153.4030415
"2006-Jan-03","10:00:00",555362735.4,154.2674265
"2006-Jan-03","11:00:00",557399217,154.8331158
"2006-Jan-03","12:00:00",559005927.1,155.2794242
"2006-Jan-03","13:00:00",555265008.2,154.2402801
"2006-Jan-03","14:00:00",556531738,154.5921495
"2006-Jan-03","15:00:00",557680108.6,154.9111413
"2006-Jan-03","16:00:00",558825971.2,155.2294364
"2006-Jan-03","17:00:00",541495493.8,150.4154149
"2006-Jan-03","18:00:00",420771474,116.880965
