"variable","meankWh","count"
"time0000",110.173831967213,8
"time0100",94.1180840163934,8
"time0200",84.0193135245902,8
"time0300",78.4110758196721,8
"time0400",77.1275163934426,8
"time0500",85.5633545081967,8
"time0600",129.830345286885,8
"time0700",163.138490778689,8
"time0800",180.304535860656,8
"time0900",186.724590163934,8
"time1000",189.950409836066,8
"time1100",192.376455942623,8
"time1200",190.10131045082,8
"time1300",195.331885245902,8
"time1400",192.446393442623,8
"time1500",176.287049180328,8
"time1600",157.577303278689,8
"time1700",151.122922131148,8
"time1800",151.756659836066,8
"time1900",153.44981557377,8
"time2000",144.453995901639,8
"time2100",124.106393442623,8
"time2200",138.885799180328,8
"time2300",122.439139344262,8
