"variable","meankWh","count"
"time00:00",15.6746147540984,3
"time01:00",14.8341612021858,3
"time02:00",14.6719180327869,3
"time03:00",14.6566775956284,3
"time04:00",14.7495081967213,3
"time05:00",16.1979234972678,3
"time06:00",24.4639344262295,3
"time07:00",34.7487431693989,3
"time08:00",43.2794535519126,3
"time09:00",45.4416393442623,3
"time10:00",47.2074426229508,3
"time11:00",49.6193005464481,3
"time12:00",51.2492158469945,3
"time13:00",51.8701612021858,3
"time14:00",52.1794153005465,3
"time15:00",43.3647322404372,3
"time16:00",33.3114890710383,3
"time17:00",39.0616775956284,3
"time18:00",41.4833633879781,3
"time19:00",39.7905710382514,3
"time20:00",30.3595928961749,3
"time21:00",22.3857213114754,3
"time22:00",19.3416420765027,3
"time23:00",17.2779289617486,3
