"Day","Season","Time","mean_kWh"
"Friday","Fall","0:00",0.000186099356125356
"Friday","Spring","0:00",0.000195011037037037
"Friday","Summer","0:00",0.000186099356125356
"Friday","Winter","0:00",0.000195011037037037
"Monday","Fall","0:00",0.000186099356125356
"Monday","Spring","0:00",0.000195011037037037
"Monday","Summer","0:00",0.000184667121693122
"Monday","Winter","0:00",0.000196210241771409
"Saturday","Fall","0:00",0.000186099356125356
"Saturday","Spring","0:00",0.000195011038390313
"Saturday","Summer","0:00",0.000183871435897436
"Saturday","Winter","0:00",0.000195610639404223
"Sunday","Fall","0:00",0.000186099356125356
"Sunday","Spring","0:00",0.000195610639404223
"Sunday","Summer","0:00",0.000183871435897436
"Sunday","Winter","0:00",0.00019556781066371
"Thursday","Fall","0:00",0.000183871435897436
"Thursday","Spring","0:00",0.000195011037037037
"Thursday","Summer","0:00",0.000186099356125356
"Thursday","Winter","0:00",0.000195011037342886
"Tuesday","Fall","0:00",0.000184667121693122
"Tuesday","Spring","0:00",0.000195011037037037
"Tuesday","Summer","0:00",0.000186099356125356
"Tuesday","Winter","0:00",0.000195011037037037
"Wednesday","Fall","0:00",0.000183871435897436
"Wednesday","Spring","0:00",0.000195011037037037
"Wednesday","Summer","0:00",0.000186099356125356
"Wednesday","Winter","0:00",0.000195011037037037
"Friday","Fall","1:00",0.000186099356125356
"Friday","Spring","1:00",0.000195610639404223
"Friday","Summer","1:00",0.000186099356125356
"Friday","Winter","1:00",0.000195610639404223
"Monday","Fall","1:00",0.000186099356125356
"Monday","Spring","1:00",0.000196310175499274
"Monday","Summer","1:00",0.000184667121693122
"Monday","Winter","1:00",0.000196210241771409
"Saturday","Fall","1:00",0.000186099356125356
"Saturday","Spring","1:00",0.000195011038528574
"Saturday","Summer","1:00",0.000183871435897436
"Saturday","Winter","1:00",0.000196210241771409
"Sunday","Fall","1:00",0.000186099356125356
"Sunday","Spring","1:00",0.000196210241771409
"Sunday","Summer","1:00",0.000183871435897436
"Sunday","Winter","1:00",0.000196681361515717
"Thursday","Fall","1:00",0.000183871435897436
"Thursday","Spring","1:00",0.000195610639404223
"Thursday","Summer","1:00",0.00020060659566784
"Thursday","Winter","1:00",0.000195011039295291
"Tuesday","Fall","1:00",0.000184667121693122
"Tuesday","Spring","1:00",0.000195011037037037
"Tuesday","Summer","1:00",0.000186099356125356
"Tuesday","Winter","1:00",0.000196210241771409
"Wednesday","Fall","1:00",0.000183871435897436
"Wednesday","Spring","1:00",0.000195011037037037
"Wednesday","Summer","1:00",0.000186099356125356
"Wednesday","Winter","1:00",0.000195011037037037
"Friday","Fall","2:00",0.000186099356125356
"Friday","Spring","2:00",0.000195610639404223
"Friday","Summer","2:00",0.000186099356125356
"Friday","Winter","2:00",0.000196809844138596
"Monday","Fall","2:00",0.000186099356125356
"Monday","Spring","2:00",0.000195660607756899
"Monday","Summer","2:00",0.000184667121693122
"Monday","Winter","2:00",0.000197409446505782
