"DATE","Site.Conditioned.Area..Square.Feet..SF.","variable","value"
"9/1/17",19515,"time00:00",0.000630284396617986
"9/1/17",28283,"time00:00",0.000347912173390376
"9/1/17",30276,"time00:00",0.000406262386048355
"9/1/17",34560,"time00:00",0.000240740740740741
"9/1/17",62310,"time00:00",0.0001797464291446
"9/1/17",74603,"time00:00",0.000150128010937898
"9/1/17",148432,"time00:00",0.000991699902985879
"9/1/17",210946,"time00:00",7.14874896893044e-05
"9/1/17",228164,"time00:00",6.60928104345997e-05
"9/1/17",273356,"time00:00",0.00103908456371911
"9/1/17",382994,"time00:00",0.00290354418084879
"9/1/17",19515,"time01:00",0.000614911606456572
"9/1/17",28283,"time01:00",0.000418626029770534
"9/1/17",30276,"time01:00",0.000396353547364249
"9/1/17",34560,"time01:00",0.000236111111111111
"9/1/17",62310,"time01:00",0.000193869362863104
"9/1/17",74603,"time01:00",0.000161923783225876
"9/1/17",148432,"time01:00",0.00084078904818368
"9/1/17",210946,"time01:00",6.95912698036464e-05
"9/1/17",228164,"time01:00",6.43396854893848e-05
"9/1/17",273356,"time01:00",0.000692064560499861
"9/1/17",382994,"time01:00",0.00237951508378721
"9/1/17",19515,"time02:00",0.000614911606456572
"9/1/17",28283,"time02:00",0.000325283739348725
"9/1/17",30276,"time02:00",0.000396353547364249
"9/1/17",34560,"time02:00",0.000222222222222222
"9/1/17",62310,"time02:00",0.000183598138340555
"9/1/17",74603,"time02:00",0.00015334503974371
"9/1/17",148432,"time02:00",0.000830009701412094
"9/1/17",210946,"time02:00",6.9970513780778e-05
"9/1/17",228164,"time02:00",6.46903104784278e-05
"9/1/17",273356,"time02:00",0.000660457425481789
"9/1/17",382994,"time02:00",0.00197486122498003
"9/1/17",19515,"time03:00",0.000584166026133743
"9/1/17",28283,"time03:00",0.000376197715942439
"9/1/17",30276,"time03:00",0.000376535869996036
"9/1/17",34560,"time03:00",0.000194444444444444
"9/1/17",62310,"time03:00",0.000178462526079281
"9/1/17",74603,"time03:00",0.000149055668002627
"9/1/17",148432,"time03:00",0.000832704538104991
"9/1/17",210946,"time03:00",6.94016478150806e-05
"9/1/17",228164,"time03:00",6.41643729948634e-05
"9/1/17",273356,"time03:00",0.00068152884882717
"9/1/17",382994,"time03:00",0.00196781150618548
"9/1/17",19515,"time04:00",0.000599538816295157
"9/1/17",28283,"time04:00",0.000339426510624757
"9/1/17",30276,"time04:00",0.000386444708680143
"9/1/17",34560,"time04:00",0.000203703703703704
"9/1/17",62310,"time04:00",0.000190017653667148
"9/1/17",74603,"time04:00",0.000158706754420064
"9/1/17",148432,"time04:00",0.000975530882828501
"9/1/17",210946,"time04:00",6.9022403837949e-05
"9/1/17",228164,"time04:00",6.38137480058204e-05
"9/1/17",273356,"time04:00",0.000676919474970368
"9/1/17",382994,"time04:00",0.00194901225606667
"9/1/17",19515,"time05:00",0.000568793235972329
"9/1/17",28283,"time05:00",0.000316798076583106
"9/1/17",30276,"time05:00",0.00036662703131193
"9/1/17",34560,"time05:00",0.000185185185185185
"9/1/17",62310,"time05:00",0.000182314235275237
"9/1/17",74603,"time05:00",0.000152272696808439
"9/1/17",148432,"time05:00",0.00128274226581869
"9/1/17",210946,"time05:00",6.94016478150806e-05
"9/1/17",228164,"time05:00",6.41643729948634e-05
"9/1/17",273356,"time05:00",0.000881707370608291
"9/1/17",382994,"time05:00",0.00137704507120216
"9/1/17",19515,"time06:00",0.0034435049961568
"9/1/17",28283,"time06:00",0.000622281936145388
"9/1/17",30276,"time06:00",0.00221957986523979
"9/1/17",34560,"time06:00",0.000226851851851852
"9/1/17",62310,"time06:00",0.000290162092761996
"9/1/17",74603,"time06:00",0.000242349503371178
"9/1/17",148432,"time06:00",0.00264363479573138
"9/1/17",210946,"time06:00",6.97808917922122e-05
"9/1/17",228164,"time06:00",6.45149979839063e-05
"9/1/17",273356,"time06:00",0.00212821375788349
"9/1/17",382994,"time06:00",0.00301727964406753
"9/1/17",19515,"time07:00",0.0022598001537279
"9/1/17",28283,"time07:00",0.00068168157550472
"9/1/17",30276,"time07:00",0.00145659928656361
"9/1/17",34560,"time07:00",0.000486111111111111
"9/1/17",62310,"time07:00",0.000907719467180228
"9/1/17",74603,"time07:00",0.000758146455236385
"9/1/17",148432,"time07:00",0.00373773849304732
"9/1/17",210946,"time07:00",4.64573871986196e-05
"9/1/17",228164,"time07:00",4.29515611577637e-05
"9/1/17",273356,"time07:00",0.00277089216991762
"9/1/17",382994,"time07:00",0.00379039880520321
"9/1/17",19515,"time08:00",0.00213681783243659
"9/1/17",28283,"time08:00",0.000851394830817099
"9/1/17",30276,"time08:00",0.00137732857709077
"9/1/17",34560,"time08:00",0.00112962962962963
"9/1/17",62310,"time08:00",0.00147135291285508
"9/1/17",74603,"time08:00",0.00122890500382022
"9/1/17",148432,"time08:00",0.00387787000107793
"9/1/17",210946,"time08:00",4.98705829928038e-05
"9/1/17",228164,"time08:00",4.61071860591504e-05
"9/1/17",273356,"time08:00",0.00323117107361829
"9/1/17",382994,"time08:00",0.00423970088304255
"9/1/17",19515,"time09:00",0.00361260568793236
"9/1/17",28283,"time09:00",0.00106636495421278
"9/1/17",30276,"time09:00",0.00232857709076496
"9/1/17",34560,"time09:00",0.00135648148148148
"9/1/17",62310,"time09:00",0.00172556571978816
"9/1/17",74603,"time09:00",0.00144122890500382
"9/1/17",148432,"time09:00",0.00391290287808559
"9/1/17",210946,"time09:00",5.04394489585012e-05
"9/1/17",228164,"time09:00",4.66331235427149e-05
"9/1/17",273356,"time09:00",0.00396801240872708
"9/1/17",382994,"time09:00",0.00447375154702162
"9/1/17",19515,"time10:00",0.00579554189085319
"9/1/17",28283,"time10:00",0.00140862001909274
"9/1/17",30276,"time10:00",0.00373563218390805
"9/1/17",34560,"time10:00",0.00183796296296296
"9/1/17",62310,"time10:00",0.00205552880757503
"9/1/17",74603,"time10:00",0.00171682103936839
"9/1/17",148432,"time10:00",0.00423628328123316
"9/1/17",210946,"time10:00",5.19564248670276e-05
"9/1/17",228164,"time10:00",4.80356234988868e-05
"9/1/17",273356,"time10:00",0.00402069096709053
"9/1/17",382994,"time10:00",0.00471861177981901
"9/1/17",19515,"time11:00",0.00641045349730976
"9/1/17",28283,"time11:00",0.0016122759254676
"9/1/17",30276,"time11:00",0.0041319857312723
"9/1/17",34560,"time11:00",0.00233333333333333
"9/1/17",62310,"time11:00",0.00238677579842722
"9/1/17",74603,"time11:00",0.00199348551666823
"9/1/17",148432,"time11:00",0.00432251805540584
"9/1/17",210946,"time11:00",5.29045348098566e-05
"9/1/17",228164,"time11:00",4.89121859714942e-05
"9/1/17",273356,"time11:00",0.00406415077774038
"9/1/17",382994,"time11:00",0.00465798419818587
"9/1/17",19515,"time12:00",0.00661029976940815
"9/1/17",28283,"time12:00",0.00186401725418096
"9/1/17",30276,"time12:00",0.00426080063416568
"9/1/17",34560,"time12:00",0.00192592592592593
"9/1/17",62310,"time12:00",0.00238677579842722
"9/1/17",74603,"time12:00",0.00199348551666823
"9/1/17",148432,"time12:00",0.00438449929934246
"9/1/17",210946,"time12:00",5.57488646383435e-05
"9/1/17",228164,"time12:00",5.15418733893165e-05
"9/1/17",273356,"time12:00",0.0041392177234083
"9/1/17",382994,"time12:00",0.00471767181731306
"9/1/17",19515,"time13:00",0.00757878554957725
"9/1/17",28283,"time13:00",0.00233921436905562
"9/1/17",30276,"time13:00",0.00488505747126437
"9/1/17",34560,"time13:00",0.00226388888888889
"9/1/17",62310,"time13:00",0.00274755255978174
"9/1/17",74603,"time13:00",0.0022948138814793
"9/1/17",148432,"time13:00",0.00462433976501024
"9/1/17",210946,"time13:00",5.8972438443962e-05
"9/1/17",228164,"time13:00",5.45221857961817e-05
"9/1/17",273356,"time13:00",0.00435651677665755
"9/1/17",382994,"time13:00",0.0048816952745996
"9/1/17",19515,"time14:00",0.00776325903151422
"9/1/17",28283,"time14:00",0.00235335714033165
"9/1/17",30276,"time14:00",0.00500396353547364
"9/1/17",34560,"time14:00",0.00202314814814815
"9/1/17",62310,"time14:00",0.00300433317284545
"9/1/17",74603,"time14:00",0.00250928246853344
"9/1/17",148432,"time14:00",0.00459469656138838
"9/1/17",210946,"time14:00",5.63177306040409e-05
"9/1/17",228164,"time14:00",5.20678108728809e-05
"9/1/17",273356,"time14:00",0.00452903905529785
"9/1/17",382994,"time14:00",0.00483657707431448
"9/1/17",19515,"time15:00",0.00713297463489623
