Date,Time,Electricity.Facility.J.,kWh,Day,Month,Season
0006-01-01,0:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,1:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,2:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,3:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,4:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,5:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,6:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,7:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,8:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,9:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,10:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,11:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,12:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,13:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,14:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,15:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,16:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,17:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,18:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,19:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,20:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,21:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,22:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-01,23:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-02,0:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-02,1:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-02,2:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-02,3:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-02,4:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-02,5:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-02,6:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-02,7:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-02,8:00,107592060.2,29.88668339,Monday,1,Winter
0006-01-02,9:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-02,10:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-02,11:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-02,12:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-02,13:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-02,14:00,158155500.2,43.93208339,Monday,1,Winter
