Date,Time,Electricity.Facility.J.,kWh,Month,Day,Season
0006-02-01,0:00,128894495,35.8040264,2,Wednesday,Spring
0006-02-01,1:00,128894495,35.8040264,2,Wednesday,Spring
0006-02-01,2:00,128894495,35.8040264,2,Wednesday,Spring
0006-02-01,3:00,134046566.4,37.23515733,2,Wednesday,Spring
0006-02-01,4:00,134046566.4,37.23515733,2,Wednesday,Spring
0006-02-01,5:00,134046566.4,37.23515733,2,Wednesday,Spring
0006-02-01,6:00,134046566.4,37.23515733,2,Wednesday,Spring
0006-02-01,7:00,215956567.9,59.98793554,2,Wednesday,Spring
0006-02-01,8:00,420903449.5,116.9176249,2,Wednesday,Spring
0006-02-01,9:00,551510256.1,153.1972934,2,Wednesday,Spring
0006-02-01,10:00,555248931.4,154.2358143,2,Wednesday,Spring
0006-02-01,11:00,559231300.7,155.342028,2,Wednesday,Spring
0006-02-01,12:00,557403630.3,154.8343418,2,Wednesday,Spring
0006-02-01,13:00,560152632.2,155.5979534,2,Wednesday,Spring
0006-02-01,14:00,562172785.3,156.159107,2,Wednesday,Spring
0006-02-01,15:00,565241493.7,157.011526,2,Wednesday,Spring
0006-02-01,16:00,566643669.6,157.4010193,2,Wednesday,Spring
0006-02-01,17:00,539070619.5,149.7418387,2,Wednesday,Spring
0006-02-01,18:00,421499982.7,117.0833285,2,Wednesday,Spring
0006-02-01,19:00,421279696.9,117.022138,2,Wednesday,Spring
0006-02-01,20:00,421063645.6,116.9621238,2,Wednesday,Spring
0006-02-01,21:00,420897218.7,116.9158941,2,Wednesday,Spring
0006-02-01,22:00,163266357,45.35176582,2,Wednesday,Spring
0006-02-01,23:00,128894495,35.8040264,2,Wednesday,Spring
0006-02-02,0:00,128894495,35.8040264,2,Thursday,Spring
0006-02-02,1:00,134046566.4,37.23515733,2,Thursday,Spring
0006-02-02,2:00,134046566.4,37.23515733,2,Thursday,Spring
0006-02-02,3:00,134046566.4,37.23515733,2,Thursday,Spring
0006-02-02,4:00,134046566.4,37.23515733,2,Thursday,Spring
0006-02-02,5:00,134046566.4,37.23515733,2,Thursday,Spring
0006-02-02,6:00,134046566.4,37.23515733,2,Thursday,Spring
0006-02-02,7:00,212056789.6,58.90466377,2,Thursday,Spring
0006-02-02,8:00,396737777.6,110.2049382,2,Thursday,Spring
0006-02-02,9:00,548962046.9,152.4894575,2,Thursday,Spring
0006-02-02,10:00,552622059.8,153.5061277,2,Thursday,Spring
0006-02-02,11:00,556339139.5,154.5386499,2,Thursday,Spring
0006-02-02,12:00,559627721.4,155.4521448,2,Thursday,Spring
0006-02-02,13:00,557785815.4,154.9405043,2,Thursday,Spring
0006-02-02,14:00,559898437.3,155.5273437,2,Thursday,Spring
0006-02-02,15:00,562211646.9,156.1699019,2,Thursday,Spring
0006-02-02,16:00,564931698.4,156.9254718,2,Thursday,Spring
0006-02-02,17:00,538429863.3,149.5638509,2,Thursday,Spring
0006-02-02,18:00,421347042.6,117.0408452,2,Thursday,Spring
0006-02-02,19:00,421456242.4,117.0711784,2,Thursday,Spring
