Date,Time,Electricity.Facility.J.,kWh,Month,Day,Season
0006-05-01,0:00,128894495,35.8040264,5,Monday,Summer
0006-05-01,1:00,128894495,35.8040264,5,Monday,Summer
0006-05-01,2:00,128894495,35.8040264,5,Monday,Summer
0006-05-01,3:00,128894495,35.8040264,5,Monday,Summer
0006-05-01,4:00,128894495,35.8040264,5,Monday,Summer
0006-05-01,5:00,128894495,35.8040264,5,Monday,Summer
0006-05-01,6:00,128894495,35.8040264,5,Monday,Summer
0006-05-01,7:00,222521382,61.811495,5,Monday,Summer
0006-05-01,8:00,396737774.6,110.2049374,5,Monday,Summer
0006-05-01,9:00,557915420.3,154.9765056,5,Monday,Summer
0006-05-01,10:00,567002957.4,157.5008215,5,Monday,Summer
0006-05-01,11:00,597867428,166.0742855,5,Monday,Summer
0006-05-01,12:00,628839859.2,174.6777387,5,Monday,Summer
0006-05-01,13:00,659916887,183.3102464,5,Monday,Summer
0006-05-01,14:00,662050003.8,183.9027788,5,Monday,Summer
0006-05-01,15:00,663497366.6,184.3048241,5,Monday,Summer
0006-05-01,16:00,665274100.5,184.7983613,5,Monday,Summer
0006-05-01,17:00,646555984.4,179.5988846,5,Monday,Summer
0006-05-01,18:00,492952712.4,136.931309,5,Monday,Summer
0006-05-01,19:00,473882461.2,131.634017,5,Monday,Summer
0006-05-01,20:00,396232605.1,110.0646125,5,Monday,Summer
0006-05-01,21:00,396027612.1,110.00767,5,Monday,Summer
0006-05-01,22:00,139302122.4,38.69503399,5,Monday,Summer
0006-05-01,23:00,128894495,35.8040264,5,Monday,Summer
0006-05-02,0:00,128894495,35.8040264,5,Tuesday,Summer
0006-05-02,1:00,128894495,35.8040264,5,Tuesday,Summer
0006-05-02,2:00,128894495,35.8040264,5,Tuesday,Summer
0006-05-02,3:00,128894495,35.8040264,5,Tuesday,Summer
0006-05-02,4:00,128894495,35.8040264,5,Tuesday,Summer
0006-05-02,5:00,128894495,35.8040264,5,Tuesday,Summer
0006-05-02,6:00,128894495,35.8040264,5,Tuesday,Summer
0006-05-02,7:00,224141453.2,62.26151477,5,Tuesday,Summer
0006-05-02,8:00,396737775.6,110.2049377,5,Tuesday,Summer
0006-05-02,9:00,565924369.7,157.2012138,5,Tuesday,Summer
0006-05-02,10:00,647098740.8,179.7496502,5,Tuesday,Summer
0006-05-02,11:00,657540740.3,182.6502056,5,Tuesday,Summer
0006-05-02,12:00,657620429.7,182.6723416,5,Tuesday,Summer
0006-05-02,13:00,660751705.8,183.5421405,5,Tuesday,Summer
0006-05-02,14:00,662519981.9,184.0333283,5,Tuesday,Summer
0006-05-02,15:00,680701412.3,189.0837256,5,Tuesday,Summer
0006-05-02,16:00,685483376.2,190.412049,5,Tuesday,Summer
0006-05-02,17:00,646619961.1,179.6166559,5,Tuesday,Summer
0006-05-02,18:00,475708606.7,132.1412796,5,Tuesday,Summer
0006-05-02,19:00,421988058,117.218905,5,Tuesday,Summer
0006-05-02,20:00,420092810,116.6924472,5,Tuesday,Summer
0006-05-02,21:00,419766994.5,116.6019429,5,Tuesday,Summer
0006-05-02,22:00,163440661.2,45.40018366,5,Tuesday,Summer
0006-05-02,23:00,128894495,35.8040264,5,Tuesday,Summer
0006-05-03,0:00,128894495,35.8040264,5,Wednesday,Summer
0006-05-03,1:00,128894495,35.8040264,5,Wednesday,Summer
0006-05-03,2:00,128894495,35.8040264,5,Wednesday,Summer
0006-05-03,3:00,128894495,35.8040264,5,Wednesday,Summer
0006-05-03,4:00,128894495,35.8040264,5,Wednesday,Summer
0006-05-03,5:00,128894495,35.8040264,5,Wednesday,Summer
0006-05-03,6:00,128894495,35.8040264,5,Wednesday,Summer
0006-05-03,7:00,223560487.4,62.10013538,5,Wednesday,Summer
0006-05-03,8:00,420817206.1,116.8936684,5,Wednesday,Summer
0006-05-03,9:00,557341823.8,154.8171733,5,Wednesday,Summer
0006-05-03,10:00,561439465.8,155.9554072,5,Wednesday,Summer
0006-05-03,11:00,596442707,165.6785297,5,Wednesday,Summer
0006-05-03,12:00,626414731.7,174.0040921,5,Wednesday,Summer
0006-05-03,13:00,657295987.5,182.5822188,5,Wednesday,Summer
0006-05-03,14:00,661551028.6,183.7641746,5,Wednesday,Summer
0006-05-03,15:00,661714786.7,183.809663,5,Wednesday,Summer
0006-05-03,16:00,663705036.2,184.3625101,5,Wednesday,Summer
0006-05-03,17:00,648554006,180.1538906,5,Wednesday,Summer
0006-05-03,18:00,526492006.2,146.2477795,5,Wednesday,Summer
0006-05-03,19:00,474725177.1,131.8681047,5,Wednesday,Summer
0006-05-03,20:00,439757563.8,122.1548788,5,Wednesday,Summer
0006-05-03,21:00,420665941.6,116.8516504,5,Wednesday,Summer
0006-05-03,22:00,163509924.9,45.41942359,5,Wednesday,Summer
0006-05-03,23:00,128894495,35.8040264,5,Wednesday,Summer
0006-05-04,0:00,128894495,35.8040264,5,Thursday,Summer
