Date,Time,Electricity.Facility.J.,kWh,Month,Day,Season
0006-01-01,0:00,128894495,35.8040264,1,Sunday,Winter
0006-01-01,1:00,128894495,35.8040264,1,Sunday,Winter
0006-01-01,2:00,128894495,35.8040264,1,Sunday,Winter
0006-01-01,3:00,134046566.4,37.23515733,1,Sunday,Winter
0006-01-01,4:00,134046566.4,37.23515733,1,Sunday,Winter
0006-01-01,5:00,134046566.4,37.23515733,1,Sunday,Winter
0006-01-01,6:00,134046566.4,37.23515733,1,Sunday,Winter
0006-01-01,7:00,211415697.9,58.72658274,1,Sunday,Winter
0006-01-01,8:00,216163888.4,60.04552455,1,Sunday,Winter
0006-01-01,9:00,180315477.8,50.08763272,1,Sunday,Winter
0006-01-01,10:00,180917527,50.25486861,1,Sunday,Winter
0006-01-01,11:00,134046566.4,37.23515733,1,Sunday,Winter
0006-01-01,12:00,180449955,50.1249875,1,Sunday,Winter
0006-01-01,13:00,180827552.8,50.22987577,1,Sunday,Winter
0006-01-01,14:00,181102392.6,50.30622015,1,Sunday,Winter
0006-01-01,15:00,180388054.6,50.10779296,1,Sunday,Winter
0006-01-01,16:00,134046566.4,37.23515733,1,Sunday,Winter
0006-01-01,17:00,180847760.3,50.23548897,1,Sunday,Winter
0006-01-01,18:00,181028293.4,50.28563707,1,Sunday,Winter
0006-01-01,19:00,181305982.2,50.36277282,1,Sunday,Winter
0006-01-01,20:00,180430642.1,50.11962282,1,Sunday,Winter
0006-01-01,21:00,134046566.4,37.23515733,1,Sunday,Winter
0006-01-01,22:00,128894495,35.8040264,1,Sunday,Winter
0006-01-01,23:00,128894495,35.8040264,1,Sunday,Winter
0006-01-02,0:00,128894495,35.8040264,1,Monday,Winter
0006-01-02,1:00,128894495,35.8040264,1,Monday,Winter
0006-01-02,2:00,128894495,35.8040264,1,Monday,Winter
0006-01-02,3:00,128894495,35.8040264,1,Monday,Winter
0006-01-02,4:00,134046566.4,37.23515733,1,Monday,Winter
